town_name,pop_2023
Andover,3144
Ansonia,19008
Ashford,4229
Avon,18883
Barkhamsted,3677
Beacon Falls,6206
Berlin,20429
Bethany,5271
Bethel,20678
Bethlehem,3421
Bloomfield,21884
Bolton,4834
Bozrah,2412
Branford,28031
Bridgeport,148028
Bridgewater,1646
Bristol,61601
Brookfield,17489
Brooklyn,8612
Burlington,9746
Canaan,1082
Canterbury,5140
Canton,10146
Chaplin,2157
Cheshire,29200
Chester,3761
Clinton,13402
Colchester,15504
Colebrook,1368
Columbia,5268
Cornwall,1575
Coventry,12308
Cromwell,14363
Danbury,86124
Darien,22020
Deep River,4454
Derby,12406
Durham,7204
East Granby,5218
East Haddam,8987
East Hampton,12989
East Hartford,50654
East Haven,27533
East Lyme,18929
East Windsor,11170
Eastford,1689
Easton,7636
Ellington,16994
Enfield,40792
Essex,6802
Fairfield,63433
Farmington,26798
Franklin,1891
Glastonbury,35204
Goshen,3232
Granby,11249
Greenwich,63574
Griswold,11624
Groton,37878
Guilford,22020
Haddam,8773
Hamden,60014
Hampton,1740
Hartford,119669
Hartland,1912
Harwinton,5612
Hebron,9146
Kent,3066
Killingly,17945
Killingworth,6254
Lebanon,7108
Ledyard,15459
Lisbon,4228
Litchfield,8293
Lyme,2409
Madison,17498
Manchester,59408
Mansfield,25401
Marlborough,6106
Meriden,60111
Middlebury,7936
Middlefield,4257
Middletown,47984
Milford,52793
Monroe,18831
Montville,17814
Morris,2272
Naugatuck,31820
New Britain,74080
New Canaan,20862
New Fairfield,13487
New Hartford,6709
New Haven,135319
New London,27560
New Milford,28276
Newington,31227
Newtown,27673
Norfolk,1596
North Branford,13415
North Canaan,3204
North Haven,24295
North Stonington,5165
Norwalk,92458
Norwich,39881
Old Lyme,7696
Old Saybrook,10571
Orange,14322
Oxford,13125
Plainfield,15193
Plainville,17491
Plymouth,11766
Pomfret,4313
Portland,9428
Preston,4829
Prospect,9479
Putnam,9312
Redding,8719
Ridgefield,24931
Rocky Hill,20708
Roxbury,2297
Salem,4319
Salisbury,4240
Scotland,1578
Seymour,16953
Sharon,2744
Shelton,42144
Sherman,3530
Simsbury,24953
Somers,10725
South Windsor,26773
Southbury,20127
Southington,43743
Sprague,2940
Stafford,11567
Stamford,136226
Sterling,3644
Stonington,18431
Stratford,52454
Suffield,15650
Thomaston,7501
Thompson,9385
Tolland,14574
Torrington,35550
Trumbull,37269
Union,797
Vernon,30596
Voluntown,2612
Wallingford,43725
Warren,1367
Washington,3685
Waterbury,114990
Waterford,19829
Watertown,22274
West Hartford,63969
West Haven,54790
Westbrook,6881
Weston,10344
Westport,27470
Wethersfield,27114
Willington,5552
Wilton,18400
Winchester,10236
Windham,23833
Windsor,29372
Windsor Locks,12529
Wolcott,16309
Woodbridge,9021
Woodbury,9862
Woodstock,8346
