fips,county,state,total_pop,pcnt_65_plus,poverty_rate,pcnt_insured,pcnt_bachelors,pcnt_low_income,pcnt_middle_class,pcnt_upper_class
36001,Albany,NY,315374,17.8,12.9,97.0,41.6,29.900000000000002,39.1,12.1
36003,Allegany,NY,47027,19.7,16.8,95.1,21.0,40.2,39.1,4.1
36005,Bronx,NY,1419250,13.9,26.9,92.7,20.6,50.800000000000004,32.199999999999996,5.2
36007,Broome,NY,197738,19.9,18.9,96.3,27.6,41.4,36.2,6.6
36009,Cattaraugus,NY,76479,20.3,17.6,93.7,19.3,44.2,35.7,3.6
36011,Cayuga,NY,75464,20.6,13.8,95.6,22.6,37.5,39.0,6.1
36013,Chautauqua,NY,126329,21.0,17.0,94.6,23.0,44.3,36.699999999999996,4.4
36015,Chemung,NY,82805,19.9,15.8,95.7,25.2,38.9,38.199999999999996,5.3
36017,Chenango,NY,46685,21.7,12.2,96.6,18.3,39.5,40.800000000000004,3.8
36019,Clinton,NY,78961,18.3,13.8,97.1,24.4,36.4,38.0,7.0
36021,Columbia,NY,61245,25.4,11.4,96.2,36.9,30.6,36.6,14.9
36023,Cortland,NY,46401,16.7,12.8,96.6,24.1,36.099999999999994,41.2,6.0
36025,Delaware,NY,44551,25.7,14.9,95.4,24.3,41.3,38.8,6.3
36027,Dutchess,NY,297144,18.6,8.3,95.8,36.5,24.9,38.3,17.4
36029,Erie,NY,950044,18.8,14.0,97.2,34.9,36.400000000000006,37.2,9.0
36031,Essex,NY,37077,25.7,11.8,95.3,29.7,35.7,38.2,7.0
36033,Franklin,NY,47066,18.9,16.5,93.4,21.9,38.5,38.8,4.6
36035,Fulton,NY,52787,20.4,14.5,96.4,19.5,39.9,38.6,4.4
36037,Genesee,NY,57943,19.6,10.6,96.2,22.4,34.3,40.900000000000006,5.4
36039,Greene,NY,47554,23.4,11.0,96.5,27.3,36.0,37.7,9.4
36041,Hamilton,NY,5102,32.8,10.0,96.2,25.5,34.3,41.199999999999996,6.5
36043,Herkimer,NY,59932,21.6,13.3,95.5,21.5,37.2,38.4,5.0
36045,Jefferson,NY,116130,14.6,13.4,94.2,23.3,38.3,38.699999999999996,5.0
36047,Kings,NY,2646306,15.0,18.9,94.1,39.4,35.1,33.5,16.0
36049,Lewis,NY,26618,19.9,12.2,95.1,18.6,35.900000000000006,42.5,3.8
36051,Livingston,NY,61588,19.5,11.6,96.1,26.6,32.6,41.2,7.0
36053,Madison,NY,67572,19.7,9.7,96.7,24.7,33.6,39.8,8.5
36055,Monroe,NY,754068,18.3,13.1,96.9,38.1,34.4,38.3,9.9
36057,Montgomery,NY,49461,19.0,14.7,93.5,19.4,40.5,37.5,5.6
36059,Nassau,NY,1388138,18.2,5.3,96.1,46.2,16.1,32.6,33.4
36061,New York,NY,1627788,17.8,15.8,95.7,61.2,29.7,28.199999999999996,28.7
36063,Niagara,NY,211341,20.2,13.0,97.5,25.8,37.5,39.0,7.4
36065,Oneida,NY,229645,19.4,14.6,96.7,25.9,36.7,38.6,6.9
36067,Onondaga,NY,471611,18.2,13.9,96.7,35.6,34.3,38.2,9.9
36069,Ontario,NY,112405,21.5,9.2,96.8,34.6,29.3,41.400000000000006,10.1
36071,Orange,NY,403840,14.3,13.0,95.2,29.7,26.4,38.3,15.6
36073,Orleans,NY,39686,19.0,13.0,94.3,16.7,38.2,42.7,3.9
36075,Oswego,NY,117945,17.4,16.5,95.6,20.3,37.1,37.1,6.1
36077,Otsego,NY,59738,21.3,14.1,95.4,27.6,35.8,40.199999999999996,6.0
36079,Putnam,NY,97988,18.7,6.5,96.7,42.0,18.2,36.5,24.4
36081,Queens,NY,2330124,17.2,12.2,91.5,33.8,29.799999999999997,38.3,13.7
36083,Rensselaer,NY,160341,17.9,11.8,96.7,34.6,29.6,39.199999999999996,10.8
36085,Richmond,NY,492734,16.8,10.9,96.1,34.5,26.5,36.5,18.2
36087,Rockland,NY,338936,15.6,15.6,95.5,39.2,24.2,33.5,24.6
36089,St. Lawrence,NY,107796,18.4,17.4,94.1,21.3,41.7,36.3,5.1
36091,Saratoga,NY,237075,19.4,6.7,97.4,41.6,22.9,40.1,16.5
36093,Schenectady,NY,159603,17.6,12.5,96.6,32.4,31.8,40.599999999999994,9.6
36095,Schoharie,NY,29979,23.3,10.8,95.9,23.1,35.6,39.4,7.6
36097,Schuyler,NY,17749,22.5,15.1,95.9,24.0,38.3,39.0,5.6
36099,Seneca,NY,33125,20.8,13.3,91.3,22.7,39.5,39.0,6.2
36101,Steuben,NY,93034,20.3,13.7,95.3,25.0,39.1,37.8,6.3
36103,Suffolk,NY,1525680,17.5,6.4,95.4,37.6,17.799999999999997,36.199999999999996,26.5
36105,Sullivan,NY,79147,19.0,15.2,94.6,27.7,36.599999999999994,37.8,10.9
36107,Tioga,NY,48106,21.2,12.2,97.4,24.5,35.5,39.4,7.8
36109,Tompkins,NY,102879,16.0,15.3,95.8,46.7,36.5,35.9,11.9
36111,Ulster,NY,182109,20.8,14.3,93.6,34.5,32.2,35.9,13.6
36113,Warren,NY,65560,23.6,9.1,96.7,33.4,31.800000000000004,39.9,10.0
36115,Washington,NY,60883,20.9,10.8,95.2,20.3,33.1,41.300000000000004,5.2
36117,Wayne,NY,91128,20.2,11.3,94.3,24.1,32.6,40.8,5.7
36119,Westchester,NY,996888,17.7,8.9,95.0,49.4,23.400000000000002,30.8,29.8
36121,Wyoming,NY,39980,19.8,10.6,95.8,17.7,33.599999999999994,42.9,4.9
36123,Yates,NY,24637,21.9,14.1,80.4,22.5,37.8,38.7,7.0
34001,Atlantic,NJ,274704,19.3,13.1,92.5,29.2,33.5,37.4,10.5
34003,Bergen,NJ,954717,17.8,6.7,93.8,50.0,19.8,34.0,28.4
34005,Burlington,NJ,464226,17.9,6.8,96.2,39.9,20.9,39.6,19.2
34007,Camden,NJ,524042,16.2,12.2,93.6,33.1,29.9,37.5,13.6
34009,Cape May,NJ,95236,28.6,8.7,94.4,35.3,28.1,39.0,14.4
34011,Cumberland,NJ,152915,15.6,16.3,89.8,16.9,38.6,37.5,7.3
34013,Essex,NJ,854130,14.0,15.0,88.4,35.2,35.0,33.099999999999994,17.6
34015,Gloucester,NJ,304504,16.5,7.6,95.8,33.4,22.5,39.6,17.7
34017,Hudson,NJ,710478,12.4,14.8,88.8,45.8,29.299999999999997,34.6,19.5
34019,Hunterdon,NJ,129448,20.1,3.8,97.1,53.4,14.899999999999999,34.8,31.4
34021,Mercer,NJ,383286,15.7,11.1,92.4,40.7,27.7,34.699999999999996,20.2
34023,Middlesex,NJ,861535,15.8,8.5,92.9,41.8,21.5,37.8,21.0
34025,Monmouth,NJ,643615,18.6,6.4,94.8,48.1,21.0,33.9,27.7
34027,Morris,NJ,510375,17.8,5.1,95.3,54.0,16.299999999999997,34.2,31.2
34029,Ocean,NJ,646434,22.4,10.4,95.8,32.1,28.0,39.300000000000004,13.5
34031,Passaic,NJ,518289,15.5,13.7,87.9,28.2,30.9,35.8,15.8
34033,Salem,NJ,64973,18.9,12.8,94.9,22.9,32.099999999999994,40.5,9.7
34035,Somerset,NJ,346203,16.6,5.5,94.3,54.2,16.3,32.5,32.7
34037,Sussex,NJ,145117,18.4,5.4,96.5,37.6,17.8,39.5,20.6
34039,Union,NJ,572549,14.8,8.9,87.6,36.1,23.9,37.5,21.4
34041,Warren,NJ,110238,19.0,8.1,95.3,34.9,23.400000000000002,39.6,13.7
09001,Fairfield,CT,959099,16.7,9.3,92.3,47.4,23.9,32.3,27.7
09003,Hartford,CT,895736,17.5,10.3,95.8,38.4,28.5,37.8,15.6
09005,Litchfield,CT,185732,21.9,8.1,96.1,36.5,24.0,40.4,15.5
09007,Middlesex,CT,164983,21.3,7.1,96.5,42.0,24.3,38.8,17.5
09009,New Haven,CT,862028,18.3,11.8,94.9,35.5,31.4,36.4,14.6
