fips,county,state,binge_drinking_prevalence,smoking_prevalence,physical_inactivity,hypertension_prevalence,high_cholesterol_prevalence,diabetes_prevalence,obesity_prevalence,stroke_prevalence
36001,Albany,NY,18.4,10.5,21.2,31.7,34.9,9.2,29.8,3.0
36003,Allegany,NY,17.4,13.8,25.5,35.5,37.8,11.1,34.4,3.7
36005,Bronx,NY,14.1,13.2,38.1,36.5,37.4,16.1,33.5,4.4
36007,Broome,NY,15.9,13.2,24.4,35.0,34.4,10.9,33.1,3.7
36009,Cattaraugus,NY,16.7,16.5,28.4,38.1,40.0,12.1,35.7,4.1
36011,Cayuga,NY,16.4,15.1,28.1,36.8,39.3,11.8,35.7,3.9
36013,Chautauqua,NY,16.4,14.9,27.8,37.3,38.8,12.6,36.3,4.0
36015,Chemung,NY,15.9,14.9,26.5,36.8,38.0,11.5,30.7,3.8
36017,Chenango,NY,16.2,15.3,27.8,37.1,38.9,12.3,36.3,4.1
36019,Clinton,NY,16.5,14.4,26.7,34.1,35.7,10.7,33.2,3.5
36021,Columbia,NY,15.5,12.4,24.6,37.0,41.9,11.8,30.8,3.9
36023,Cortland,NY,18.7,12.8,23.8,31.1,35.1,9.3,30.5,3.1
36025,Delaware,NY,16.1,14.5,28.6,39.6,39.2,12.5,32.8,4.3
36027,Dutchess,NY,15.3,11.0,21.6,33.4,36.1,9.9,28.2,3.1
36029,Erie,NY,17.4,12.4,24.8,33.0,37.0,10.8,32.8,3.4
36031,Essex,NY,16.2,13.5,25.8,37.9,39.6,11.8,34.8,4.0
36033,Franklin,NY,16.8,16.3,28.9,36.4,37.3,12.2,40.7,3.9
36035,Fulton,NY,16.4,16.0,28.5,38.3,38.2,12.1,35.8,4.0
36037,Genesee,NY,16.8,13.5,24.8,35.1,37.8,10.7,30.2,3.5
36039,Greene,NY,17.0,13.5,26.2,36.6,40.1,11.7,34.4,3.9
36041,Hamilton,NY,14.3,13.4,27.0,41.5,43.9,13.4,31.0,4.5
36043,Herkimer,NY,17.9,14.6,28.1,36.4,38.5,11.3,37.0,3.9
