"StateAbbr","TractFIPS","TotalPop18plus","BINGE_CrudePrev","CSMOKING_CrudePrev","LPA_CrudePrev","BPHIGH_CrudePrev","HIGHCHOL_CrudePrev","DIABETES_CrudePrev","OBESITY_CrudePrev","STROKE_CrudePrev"
"CT","09110400101","2,483","14.3","9.9","23.9","36.4","44.0","11.4","28.7","3.7"
"CT","09110400102","3,500","16.5","10.5","21.7","32.8","41.3","10.4","30.1","3.0"
"CT","09110400200","4,839","16.6","9.6","20.4","32.1","41.8","9.7","28.1","2.9"
"CT","09110400300","5,645","16.3","9.8","21.2","32.8","41.7","9.9","28.6","3.1"
"CT","09110415300","1,735","15.3","18.4","40.9","32.2","35.4","14.0","41.4","3.5"
"CT","09110415400","4,592","16.0","14.1","33.4","31.5","36.7","12.3","36.7","3.2"
"CT","09110415500","2,253","15.1","18.2","40.2","33.1","37.3","14.2","39.1","3.8"
"CT","09110415600","3,108","13.2","19.1","43.4","38.5","40.1","17.6","42.2","4.9"
"CT","09110415700","2,479","16.8","12.0","27.7","29.9","35.9","10.7","35.2","2.8"
"CT","09110415800","2,302","12.9","17.1","39.9","40.9","41.9","17.3","39.5","5.3"
"CT","09110415900","1,253","14.1","21.4","44.3","37.6","40.1","17.4","42.3","4.8"
"CT","09110416000","3,479","15.1","20.1","39.5","35.8","38.3","15.1","41.4","4.2"
"CT","09110416100","3,601","14.5","18.7","42.9","34.0","37.8","15.9","41.1","4.0"
"CT","09110416200","2,170","12.7","22.7","51.1","38.2","39.3","20.1","46.2","5.2"
"CT","09110416300","2,919","13.7","18.6","41.2","38.5","40.9","17.5","41.5","4.7"
"CT","09110416400","2,698","15.9","9.0","22.0","32.3","40.6","10.3","30.0","3.0"
"CT","09110416500","3,732","15.7","13.9","32.0","32.5","38.0","12.6","36.0","3.3"
"CT","09110416600","2,263","13.5","17.4","41.8","36.7","39.7","16.4","40.2","4.6"
"CT","09110416700","5,270","14.7","15.2","34.7","35.0","39.7","14.2","37.1","3.9"
"CT","09110416800","2,522","17.2","11.3","26.2","29.3","36.5","10.3","32.1","2.8"
"CT","09110417100","1,499","13.0","22.7","48.1","39.9","40.5","19.9","44.6","5.5"
"CT","09110417200","1,438","16.6","12.8","29.1","28.9","33.2","10.8","35.0","2.9"
"CT","09110417300","2,038","17.1","15.5","36.7","18.3","16.5","3.5","36.0","1.1"
"CT","09110417400","2,626","15.6","10.1","24.2","30.6","37.9","10.3","29.3","3.0"
"CT","09110417500","3,608","15.6","11.5","26.5","33.8","40.4","11.7","32.4","3.4"
"CT","09110420400","2,410","17.3","10.3","21.0","30.9","39.9","9.3","29.3","2.8"
"CT","09110420500","4,445","17.2","12.8","25.4","32.2","39.3","10.7","32.4","3.1"
"CT","09110420601","2,149","15.1","17.3","32.4","36.8","41.5","13.5","35.7","4.3"
"CT","09110420602","2,734","16.3","10.6","23.4","32.7","40.4","10.2","30.3","3.2"
"CT","09110420700","2,741","16.5","12.9","24.7","34.0","41.4","10.9","31.7","3.4"
"CT","09110430100","3,380","16.3","11.4","24.3","33.2","40.6","10.3","30.3","3.4"
"CT","09110430201","2,727","16.4","9.0","20.0","31.4","40.8","9.4","27.9","2.8"
"CT","09110430202","3,661","17.0","8.6","18.7","31.3","41.1","9.1","27.9","2.7"
"CT","09110430203","3,393","14.5","8.1","20.7","35.8","44.4","10.4","27.0","3.4"
"CT","09110430301","2,958","17.1","9.3","19.6","30.8","40.4","9.1","28.4","2.7"
"CT","09110430302","2,335","17.4","11.2","22.3","31.4","40.0","9.5","29.5","2.9"
"CT","09110430400","4,129","15.4","12.8","26.1","35.4","41.9","11.7","31.6","3.8"
"CT","09110430501","1,390","17.0","9.8","21.0","31.2","39.9","9.1","28.7","2.9"
"CT","09110430502","4,001","17.9","8.6","17.9","29.4","39.6","8.4","27.9","2.5"
"CT","09110430602","2,716","17.4","9.9","20.5","30.3","39.5","9.0","28.8","2.7"
"CT","09110430603","1,695","15.4","12.4","26.1","33.9","40.9","11.3","31.6","3.5"
"CT","09110430604","2,415","15.4","9.2","21.0","33.7","42.8","10.1","27.7","3.2"
"CT","09110460100","2,781","13.3","7.9","22.1","35.1","43.8","10.9","25.8","3.4"
"CT","09110460202","3,937","16.3","7.4","18.4","29.5","39.2","8.9","26.6","2.5"
"CT","09110460203","2,561","15.3","6.1","17.0","29.2","39.9","8.4","24.4","2.4"
"CT","09110460204","4,909","14.5","8.1","20.5","31.9","41.7","10.0","26.4","2.9"
"CT","09110460301","3,925","16.8","7.9","18.2","30.3","40.1","9.0","27.9","2.5"
"CT","09110460302","3,064","15.9","8.5","19.7","31.3","41.1","9.5","27.5","2.8"
"CT","09110462101","4,800","15.1","7.4","18.7","32.7","42.3","9.8","27.1","2.9"
"CT","09110462102","3,095","16.7","6.3","15.5","27.4","39.6","8.0","25.0","2.1"
"CT","09110462201","4,366","15.0","8.1","20.3","33.1","42.3","9.9","27.0","3.1"
"CT","09110462202","2,323","14.6","6.0","17.0","31.3","42.0","9.2","25.0","2.6"
"CT","09110464101","4,028","17.0","8.8","18.4","31.9","41.4","9.4","29.1","2.8"
"CT","09110464102","3,964","16.2","7.8","18.5","32.2","41.5","9.4","27.9","2.8"
"CT","09110466101","4,503","16.7","6.4","16.0","29.9","40.6","8.4","26.4","2.4"
"CT","09110466102","4,135","17.9","6.9","15.8","27.7","38.7","7.9","26.9","2.2"
"CT","09110466201","2,098","16.1","10.3","22.2","32.5","40.0","10.5","30.7","3.1"
"CT","09110466202","2,805","15.9","6.8","17.2","32.3","42.1","9.0","26.5","2.8"
"CT","09110466300","3,478","16.8","7.6","17.6","30.1","40.4","8.8","27.3","2.5"
"CT","09110466400","1,831","16.5","10.3","21.2","32.1","40.5","10.1","30.7","2.9"
"CT","09110468101","5,337","17.3","8.9","18.4","31.1","41.0","9.0","28.4","2.7"
"CT","09110468102","3,215","15.7","8.6","19.8","34.1","42.8","10.1","28.6","3.1"
"CT","09110470100","4,047","17.2","9.7","19.9","30.8","40.1","9.3","28.9","2.7"
"CT","09110471100","2,868","11.4","12.9","32.7","44.3","39.4","17.1","40.4","5.1"
"CT","09110471200","2,579","12.0","10.4","27.7","42.3","39.5","15.1","37.4","4.4"
"CT","09110471300","4,434","14.1","9.4","24.3","36.7","38.6","12.4","32.9","3.7"
"CT","09110471400","4,973","12.0","8.7","24.4","41.7","45.2","13.6","31.2","4.3"
"CT","09110471500","3,378","11.5","9.5","27.7","41.1","41.3","14.1","33.1","4.5"
"CT","09110473100","5,025","12.9","10.0","26.4","39.1","40.6","13.6","34.1","3.9"
"CT","09110473400","1,725","16.2","10.6","23.2","32.9","38.9","10.8","32.2","3.1"
"CT","09110473501","3,740","14.1","8.4","21.1","35.5","42.0","11.4","30.3","3.2"
"CT","09110473502","2,780","15.1","10.0","22.9","34.5","40.3","11.3","31.8","3.2"
"CT","09110473601","2,690","14.5","8.8","21.8","35.6","42.0","11.2","30.2","3.3"
"CT","09110473602","1,892","14.3","11.6","26.9","34.2","38.1","12.2","33.1","3.4"
"CT","09110473700","4,541","14.5","9.5","23.6","34.6","37.4","11.6","34.2","3.2"
"CT","09110473800","1,433","12.9","12.6","29.8","39.0","37.0","14.8","39.8","3.9"
"CT","09110476100","3,839","16.3","11.9","24.6","33.0","40.0","10.9","31.7","3.2"
"CT","09110476200","2,255","15.6","13.7","27.3","36.2","42.0","12.0","32.5","3.8"
"CT","09110476300","4,295","15.4","12.1","26.3","34.4","41.2","11.4","30.9","3.5"
"CT","09110477101","3,306","17.0","9.2","19.6","31.6","40.8","9.3","28.5","2.8"
"CT","09110477103","4,895","19.2","11.3","21.8","30.1","36.7","9.2","31.6","2.6"
"CT","09110477104","2,298","15.6","10.4","23.3","33.6","41.8","10.2","28.5","3.4"
"CT","09110477200","2,370","16.6","11.2","21.9","33.4","42.1","10.2","29.8","3.2"
"CT","09110480300","1,742","17.3","12.6","23.9","32.6","39.8","10.2","32.0","3.1"
"CT","09110480400","2,846","15.5","15.2","29.2","36.7","42.0","12.5","33.8","4.0"
"CT","09110480500","2,547","18.3","11.2","21.9","28.8","37.3","8.8","30.2","2.6"
"CT","09110480600","3,729","17.4","17.1","31.3","30.4","35.1","10.9","36.8","3.1"
"CT","09110480700","1,689","13.5","13.7","30.9","39.2","43.0","13.5","33.2","4.7"
"CT","09110480800","3,545","17.0","10.4","22.0","31.6","39.7","9.5","29.6","3.0"
"CT","09110480900","2,585","19.0","13.1","24.0","31.6","37.4","9.9","33.3","2.9"
"CT","09110481000","2,757","16.7","10.1","21.3","33.0","41.0","10.1","29.9","3.1"
"CT","09110481100","2,993","16.8","11.2","22.8","32.5","40.2","10.0","30.7","3.1"
"CT","09110481200","3,116","16.7","10.6","22.4","32.7","40.4","10.2","30.4","3.1"
"CT","09110481300","2,327","16.2","11.3","23.0","33.8","41.6","10.6","30.6","3.3"
"CT","09110484100","4,829","15.4","10.8","23.7","33.5","41.2","10.6","29.4","3.2"
"CT","09110484200","4,527","16.2","10.5","22.4","32.9","40.8","10.5","30.7","3.1"
"CT","09110487100","5,428","16.0","8.2","19.0","29.9","40.2","9.1","26.6","2.5"
"CT","09110487201","3,504","15.5","8.8","20.8","32.9","41.6","10.0","27.8","3.1"
"CT","09110487202","2,625","16.6","8.3","18.2","29.4","40.2","9.0","27.1","2.4"
"CT","09110487300","1,170","15.5","8.9","20.8","33.6","42.6","10.4","28.5","3.1"
"CT","09110487400","2,019","15.2","8.4","20.5","30.2","39.8","9.3","26.4","2.7"
"CT","09110487500","5,971","14.4","7.7","20.5","30.1","39.7","9.4","25.6","2.6"
"CT","09110490100","4,629","16.2","9.3","21.4","30.2","39.2","9.3","28.2","2.7"
"CT","09110490303","3,481","14.8","7.4","19.5","25.9","36.9","8.0","23.2","2.1"
"CT","09110490304","3,325","14.4","7.9","20.6","34.1","43.5","10.3","26.1","3.2"
"CT","09110492100","2,732","17.1","7.5","17.6","29.8","40.0","8.6","27.5","2.5"
"CT","09110492200","3,278","17.1","7.9","18.8","29.3","39.0","8.7","28.3","2.5"
"CT","09110492300","4,995","16.3","11.0","25.0","31.1","38.4","10.6","31.8","3.0"
"CT","09110492400","2,398","16.1","9.4","21.3","32.4","41.1","10.0","28.8","3.0"
"CT","09110492500","2,813","16.6","7.8","18.5","30.9","40.8","8.9","27.0","2.7"
"CT","09110492600","5,720","15.5","8.8","21.0","33.6","42.4","10.2","27.9","3.2"
"CT","09110494100","5,215","15.7","10.2","23.2","32.2","40.3","10.6","30.4","3.0"
"CT","09110494201","3,849","15.5","9.3","22.4","33.1","41.4","10.2","28.2","3.2"
"CT","09110494202","2,273","16.3","8.9","20.3","30.9","40.1","9.5","28.5","2.7"
"CT","09110494300","3,263","16.0","11.9","25.0","32.8","40.9","10.7","30.4","3.3"
"CT","09110494400","3,880","14.9","11.9","26.4","35.9","42.4","11.9","31.2","3.8"
"CT","09110494500","3,533","16.3","10.3","23.1","31.6","40.1","10.3","29.7","3.0"
"CT","09110494600","2,964","14.9","10.3","24.3","33.7","41.5","11.1","29.3","3.3"
"CT","09110496100","2,065","13.2","16.3","36.9","35.5","39.5","15.3","36.5","4.0"
"CT","09110496200","3,864","14.5","9.5","24.0","32.6","41.2","11.0","27.8","3.2"
"CT","09110496300","2,847","16.8","7.9","19.3","28.9","38.3","8.8","28.1","2.5"
"CT","09110496400","2,252","16.6","6.8","16.9","29.1","39.7","8.5","26.1","2.4"
"CT","09110496500","2,104","18.4","6.3","14.9","26.9","38.0","7.4","26.5","2.1"
"CT","09110496600","2,276","14.8","6.4","17.7","33.6","43.4","9.6","26.1","2.9"
"CT","09110496700","2,987","18.0","7.8","19.3","25.5","34.5","8.2","28.7","2.1"
"CT","09110496800","2,844","15.2","10.8","26.6","29.7","37.5","10.8","30.5","2.9"
"CT","09110496900","5,145","18.3","7.6","18.7","25.9","34.8","7.8","27.8","2.2"
"CT","09110497000","3,184","17.2","6.2","15.3","28.8","39.9","8.0","26.0","2.2"
"CT","09110497100","3,441","16.4","7.6","20.3","30.0","37.6","9.0","27.3","2.8"
"CT","09110497200","2,101","14.6","6.4","19.8","32.0","40.1","9.1","24.7","3.1"
"CT","09110497300","4,402","16.4","6.4","17.7","28.4","37.7","8.4","24.4","2.5"
"CT","09110497400","2,987","17.0","5.2","14.2","28.2","39.6","7.7","25.0","2.1"
"CT","09110497500","3,080","14.6","7.8","20.5","33.2","42.1","10.4","27.0","3.1"
"CT","09110497600","1,807","17.7","5.7","14.8","28.2","39.1","7.8","26.0","2.2"
