"StateAbbr","CountyName","CountyFIPS","BINGE_CrudePrev","CSMOKING_CrudePrev","LPA_CrudePrev","BPHIGH_CrudePrev","HIGHCHOL_CrudePrev","DIABETES_CrudePrev","OBESITY_CrudePrev","STROKE_CrudePrev"
"NJ","Somerset","34035","13.3","8.2","20.8","30.6","39.3","10.1","26.3","2.6"
"NJ","Monmouth","34025","16.0","9.7","19.5","32.9","39.7","9.8","30.4","2.9"
"NJ","Essex","34013","14.8","12.4","28.9","31.7","38.4","12.0","29.6","3.6"
"NJ","Salem","34033","16.0","14.7","27.9","37.4","39.6","11.9","34.0","3.8"
"NJ","Burlington","34005","15.9","10.9","23.6","34.0","40.0","10.5","30.2","3.1"
"NJ","Warren","34041","16.2","11.6","25.0","34.5","39.8","10.0","32.5","3.2"
"NJ","Gloucester","34015","16.6","11.9","23.4","36.6","39.2","10.3","31.5","3.0"
"NJ","Middlesex","34023","14.6","10.0","25.3","33.2","38.8","11.6","29.9","2.8"
"NJ","Sussex","34037","16.9","11.2","21.3","33.3","39.5","9.5","26.9","2.9"
"NJ","Passaic","34031","15.7","12.3","31.2","32.4","37.4","12.7","31.0","3.4"
"NJ","Atlantic","34001","14.5","12.9","27.9","36.1","41.6","12.7","30.7","3.7"
"NJ","Camden","34007","16.6","13.1","26.3","33.4","37.8","11.4","29.8","3.3"
"NJ","Hudson","34017","16.4","10.6","27.9","28.6","36.4","10.5","27.9","2.6"
"NJ","Union","34039","15.1","11.4","25.5","33.7","37.8","11.6","29.7","3.2"
"NJ","Mercer","34021","14.2","10.5","24.4","31.2","37.2","11.1","25.4","3.1"
"NJ","Cape May","34009","15.3","11.8","22.9","38.9","45.9","11.7","33.5","3.9"
"NJ","Ocean","34029","14.5","13.3","25.8","35.0","42.8","11.4","29.8","3.6"
"NJ","Hunterdon","34019","16.2","8.8","19.4","31.7","39.5","9.2","26.3","2.8"
"NJ","Cumberland","34011","14.7","16.5","32.8","38.8","39.0","13.5","40.4","4.0"
"NJ","Bergen","34003","15.6","8.4","21.7","32.5","41.3","9.7","25.6","2.8"
"NJ","Morris","34027","17.6","8.4","19.2","31.0","40.0","9.0","22.8","2.6"
"NY","Seneca","36099","16.4","15.3","28.4","36.4","38.4","11.6","34.7","4.0"
"NY","Columbia","36021","15.5","12.4","24.6","37.0","41.9","11.8","30.8","3.9"
"NY","Hamilton","36041","14.3","13.4","27.0","41.5","43.9","13.4","31.0","4.5"
"NY","Livingston","36051","18.3","12.3","23.1","33.7","37.7","10.1","30.8","3.4"
"NY","Sullivan","36105","15.6","13.7","28.7","35.8","37.6","12.1","31.9","3.7"
"NY","Oswego","36075","17.5","15.7","28.5","35.2","36.7","11.2","36.4","3.7"
"NY","Richmond","36085","13.9","12.1","26.5","34.1","41.2","11.9","30.3","3.2"
"NY","Cayuga","36011","16.4","15.1","28.1","36.8","39.3","11.8","35.7","3.9"
"NY","Washington","36115","16.4","14.7","26.7","36.2","40.7","11.2","31.4","3.8"
"NY","Rensselaer","36083","17.5","11.9","23.2","32.1","36.1","9.9","31.5","3.1"
"NY","New York","36061","21.0","8.2","20.4","27.2","36.8","8.9","19.2","2.7"
"NY","Bronx","36005","14.1","13.2","38.1","36.5","37.4","16.1","33.5","4.4"
"NY","Wyoming","36121","17.5","15.1","26.1","36.6","38.4","11.2","35.6","3.7"
"NY","Saratoga","36091","17.0","10.6","19.8","32.3","38.2","9.6","33.1","3.0"
"NY","Fulton","36035","16.4","16.0","28.5","38.3","38.2","12.1","35.8","4.0"
"NY","Montgomery","36057","16.9","15.2","27.7","35.3","36.5","11.5","38.8","3.8"
"NY","Ontario","36069","16.6","11.5","22.0","34.1","36.8","10.5","30.7","3.4"
"NY","Dutchess","36027","15.3","11.0","21.6","33.4","36.1","9.9","28.2","3.1"
"NY","Warren","36113","15.4","12.2","23.5","35.8","38.3","11.2","31.0","3.6"
"NY","Onondaga","36067","16.4","11.9","23.1","35.6","35.3","10.9","36.9","3.4"
"NY","Otsego","36077","16.7","12.1","24.2","32.1","37.0","10.2","29.9","3.4"
"NY","Tioga","36107","16.3","13.9","26.1","36.9","39.6","11.3","30.5","3.8"
"NY","Chemung","36015","15.9","14.9","26.5","36.8","38.0","11.5","30.7","3.8"
"NY","Wayne","36117","16.4","13.9","26.0","34.0","38.0","11.2","37.4","3.7"
"NY","Chautauqua","36013","16.4","14.9","27.8","37.3","38.8","12.6","36.3","4.0"
"NY","Herkimer","36043","17.9","14.6","28.1","36.4","38.5","11.3","37.0","3.9"
"NY","Madison","36053","17.0","12.5","22.7","33.7","38.2","10.3","36.4","3.4"
"NY","Schuyler","36097","16.3","15.1","26.2","37.8","38.9","12.4","31.7","4.1"
"NY","Delaware","36025","16.1","14.5","28.6","39.6","39.2","12.5","32.8","4.3"
"NY","Westchester","36119","15.1","9.2","22.0","29.8","36.5","10.5","26.0","3.0"
"NY","Allegany","36003","17.4","13.8","25.5","35.5","37.8","11.1","34.4","3.7"
"NY","Jefferson","36045","20.2","13.9","25.4","30.8","32.3","10.0","37.8","3.1"
