"Notes","State","State Code","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Connecticut","09","Fairfield County, CT","09001",90,Not Available,Not Available,Not Available,Not Available
,"Connecticut","09","Hartford County, CT","09003",116,Not Available,Not Available,Not Available,Not Available
,"Connecticut","09","Litchfield County, CT","09005",25,Not Available,Not Available,Not Available,Not Available
,"Connecticut","09","Middlesex County, CT","09007",20,Not Available,Not Available,Not Available,Not Available
,"Connecticut","09","New Haven County, CT","09009",139,Not Available,Not Available,Not Available,Not Available
,"Connecticut","09","New London County, CT","09011",47,Not Available,Not Available,Not Available,Not Available
,"Connecticut","09","Tolland County, CT","09013",16,Not Available,Not Available,Not Available,Not Available
,"Connecticut","09","Windham County, CT","09015",17,Not Available,Not Available,Not Available,Not Available
"Total","Connecticut","09",,,470,14300555,3.3,3.0,3.6
,"New Jersey","34","Atlantic County, NJ","34001",46,1896975,2.4,1.8,3.2
,"New Jersey","34","Bergen County, NJ","34003",196,6642481,3.0,2.5,3.4
,"New Jersey","34","Burlington County, NJ","34005",145,3212383,4.5,3.8,5.2
,"New Jersey","34","Camden County, NJ","34007",127,3630220,3.5,2.9,4.1
,"New Jersey","34","Cape May County, NJ","34009",41,655925,6.3,4.5,8.5
,"New Jersey","34","Cumberland County, NJ","34011",48,1060494,4.5,3.3,6.0
,"New Jersey","34","Essex County, NJ","34013",177,5836281,3.0,2.6,3.5
,"New Jersey","34","Gloucester County, NJ","34015",63,2107573,3.0,2.3,3.8
,"New Jersey","34","Hudson County, NJ","34017",86,4867604,1.8,1.4,2.2
,"New Jersey","34","Hunterdon County, NJ","34019",34,895474,3.8,2.6,5.3
,"New Jersey","34","Mercer County, NJ","34021",84,2644875,3.2,2.5,3.9
,"New Jersey","34","Middlesex County, NJ","34023",166,5953450,2.8,2.4,3.2
,"New Jersey","34","Monmouth County, NJ","34025",131,4438301,3.0,2.4,3.5
,"New Jersey","34","Morris County, NJ","34027",111,3536768,3.1,2.6,3.7
,"New Jersey","34","Ocean County, NJ","34029",154,4453438,3.5,2.9,4.0
,"New Jersey","34","Passaic County, NJ","34031",100,3577563,2.8,2.2,3.3
,"New Jersey","34","Salem County, NJ","34033",22,448818,4.9,3.1,7.4
,"New Jersey","34","Somerset County, NJ","34035",90,2388260,3.8,3.0,4.6
,"New Jersey","34","Sussex County, NJ","34037",20,1006492,2.0,1.2,3.1
,"New Jersey","34","Union County, NJ","34039",142,3978617,3.6,3.0,4.2
,"New Jersey","34","Warren County, NJ","34041",12,761610,1.6,0.8,2.8
"Total","New Jersey","34",,,1995,63993602,3.1,3.0,3.3
,"New York","36","Albany County, NY","36001",30,2182454,1.4,0.9,2.0
,"New York","36","Allegany County, NY","36003",12,324858,3.7,1.9,6.5
,"New York","36","Bronx County, NY","36005",119,9797575,1.2,1.0,1.4
,"New York","36","Broome County, NY","36007",42,1358398,3.1,2.2,4.2
,"New York","36","Cattaraugus County, NY","36009",13,532760,2.4,1.3,4.2
,"New York","36","Cayuga County, NY","36011",14,529680,2.6,1.4,4.4
,"New York","36","Chautauqua County, NY","36013",16,882704,1.8,1.0,2.9
,"New York","36","Chemung County, NY","36015",16,577243,2.8,1.6,4.5
,"New York","36","Chenango County, NY","36017",11,326164,3.4,1.7,6.0
,"New York","36","Clinton County, NY","36019",19,555293,3.4,2.1,5.3
,"New York","36","Columbia County, NY","36021",Suppressed,422744,Suppressed,Suppressed,Suppressed
,"New York","36","Cortland County, NY","36023",Suppressed,326711,Suppressed,Suppressed,Suppressed
,"New York","36","Delaware County, NY","36025",Suppressed,310319,Suppressed,Suppressed,Suppressed
,"New York","36","Dutchess County, NY","36027",36,2072999,1.7,1.2,2.4
,"New York","36","Erie County, NY","36029",135,6553406,2.1,1.7,2.4
,"New York","36","Essex County, NY","36031",Suppressed,258773,Suppressed,Suppressed,Suppressed
,"New York","36","Franklin County, NY","36033",Suppressed,337697,Suppressed,Suppressed,Suppressed
,"New York","36","Fulton County, NY","36035",Suppressed,369878,Suppressed,Suppressed,Suppressed
,"New York","36","Genesee County, NY","36037",12,402306,3.0,1.5,5.2
,"New York","36","Greene County, NY","36039",Suppressed,332381,Suppressed,Suppressed,Suppressed
