STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
36,001,Albany,New York,314848,+42.680589,-073.811637
36,003,Allegany,New York,46456,+42.228676,-078.020786
36,005,Bronx,New York,1472654,+40.849395,-073.882271
36,007,Broome,New York,198683,+42.120758,-075.936264
36,009,Cattaraugus,New York,77042,+42.223696,-078.608393
36,011,Cayuga,New York,76248,+42.938915,-076.560652
36,013,Chautauqua,New York,127657,+42.245031,-079.314802
36,015,Chemung,New York,84148,+42.120553,-076.813813
36,017,Chenango,New York,47220,+42.480979,-075.568857
36,019,Clinton,New York,79843,+44.729940,-073.542837
36,021,Columbia,New York,61570,+42.274439,-073.680411
36,023,Cortland,New York,46809,+42.595471,-076.146202
36,025,Delaware,New York,44308,+42.248721,-074.996335
36,027,Dutchess,New York,295911,+41.678068,-073.841540
36,029,Erie,New York,954236,+42.891147,-078.792727
36,031,Essex,New York,37381,+44.168428,-073.676357
36,033,Franklin,New York,47555,+44.717734,-074.351416
36,035,Fulton,New York,53324,+43.058597,-074.329857
36,037,Genesee,New York,58388,+42.998899,-078.171041
36,039,Greene,New York,47931,+42.298257,-073.978824
36,041,Hamilton,New York,5107,+43.612735,-074.385492
36,043,Herkimer,New York,60139,+43.071299,-074.994925
36,045,Jefferson,New York,116721,+44.019862,-075.895040
36,047,Kings,New York,2736074,+40.651666,-073.954985
36,049,Lewis,New York,26582,+43.788692,-075.449227
36,051,Livingston,New York,61834,+42.769037,-077.762787
36,053,Madison,New York,68016,+42.986860,-075.719961
36,055,Monroe,New York,759443,+43.160725,-077.618985
36,057,Montgomery,New York,49532,+42.932710,-074.344144
36,059,Nassau,New York,1395774,+40.716432,-073.603664
36,061,New York,New York,1694251,+40.776422,-073.967437
36,063,Niagara,New York,212666,+43.134406,-078.851139
36,065,Oneida,New York,232125,+43.146277,-075.355941
36,067,Onondaga,New York,476516,+43.067977,-076.167376
36,069,Ontario,New York,112458,+42.902312,-077.266946
36,071,Orange,New York,401310,+41.419570,-074.239375
36,073,Orleans,New York,40343,+43.249285,-078.224364
36,075,Oswego,New York,117525,+43.392222,-076.311790
36,077,Otsego,New York,58524,+42.564145,-075.060236
36,079,Putnam,New York,97668,+41.410932,-073.718558
36,081,Queens,New York,2405464,+40.721204,-073.834008
36,083,Rensselaer,New York,161130,+42.699563,-073.631993
36,085,Richmond,New York,495747,+40.589259,-074.136701
36,087,Rockland,New York,338329,+41.127445,-074.022140
36,089,St. Lawrence,New York,108505,+44.652827,-075.147873
36,091,Saratoga,New York,235509,+43.007918,-073.784353
36,093,Schenectady,New York,158061,+42.809147,-073.945253
36,095,Schoharie,New York,29714,+42.643980,-074.435708
36,097,Schuyler,New York,17898,+42.389251,-076.869139
36,099,Seneca,New York,33814,+42.828510,-076.827711
36,101,Steuben,New York,93584,+42.264824,-077.319680
36,103,Suffolk,New York,1525920,+40.823365,-073.103278
36,105,Sullivan,New York,78624,+41.698542,-074.698587
36,107,Tioga,New York,48455,+42.121424,-076.298893
36,109,Tompkins,New York,105740,+42.459082,-076.478989
36,111,Ulster,New York,181851,+41.841749,-074.098362
36,113,Warren,New York,65737,+43.392942,-073.711242
36,115,Washington,New York,61302,+43.289043,-073.460751
36,117,Wayne,New York,91283,+43.143635,-077.130245
36,119,Westchester,New York,1004457,+41.038581,-073.805470
36,121,Wyoming,New York,40531,+42.722711,-078.209554
36,123,Yates,New York,24774,+42.634707,-077.078135
