fips,county,nearest_stroke_distance
09001,Fairfield,14.240213722926462
09003,Hartford,4.320017377390271
09005,Litchfield,5.375039492335274
09007,Middlesex,6.514388147080656
09009,New Haven,5.965944406330592
09011,New London,6.879363199145651
09013,Tolland,4.371734623207021
09015,Windham,8.114528674420685
36001,Albany,1.8661614445632402
36003,Allegany,8.146286411665328
36005,Bronx,0.5537162956450346
36007,Broome,1.9399365711405296
36009,Cattaraugus,13.124612636818235
36011,Cayuga,0.23862987470118865
36013,Chautauqua,46.832061814482884
36015,Chemung,1.6093527682680913
36017,Chenango,32.69160827774322
36019,Clinton,70.94616404626298
36021,Columbia,5.3419030871838284
36023,Cortland,2.197408330616012
36025,Delaware,31.10038226813098
36027,Dutchess,15.03575116548208
36029,Erie,7.411805870594682
36031,Essex,59.47289842258682
36033,Franklin,31.16691808817138
36035,Fulton,26.564831647877067
36037,Genesee,0.4650804799603497
36039,Greene,10.942295575469227
36041,Hamilton,42.74594702524761
36043,Herkimer,25.179326755144043
36045,Jefferson,3.908126466149227
36047,Kings,0.6332483182651867
36049,Lewis,26.149719501598174
36051,Livingston,15.285346831160293
36053,Madison,21.770650321820533
36055,Monroe,1.817972915174815
36057,Montgomery,22.945210882700096
36059,Nassau,2.4365416057648686
36061,New York,1.9215038619774227
36063,Niagara,9.069117360497541
36065,Oneida,7.241718031238336
36067,Onondaga,1.2874210709227423
36069,Ontario,2.2331424289239488
36071,Orange,6.8018641715099255
36073,Orleans,17.101837107247064
36075,Oswego,24.679064433773878
36077,Otsego,11.452362657447006
36079,Putnam,3.2631326298850825
36081,Queens,1.0574493714077566
36083,Rensselaer,3.1129868791252466
36085,Richmond,5.588606523165859
36087,Rockland,5.506082755748832
36089,St. Lawrence,8.352092119109725
36091,Saratoga,5.3441320655192985
36093,Schenectady,1.525175218233244
36095,Schoharie,25.133597485300676
36097,Schuyler,17.8637313938755
36099,Seneca,8.769372060441416
36101,Steuben,20.055314026411438
36103,Suffolk,6.847226484403863
36105,Sullivan,2.141496359071587
36107,Tioga,18.761546675241462
36109,Tompkins,3.1039565996519944
36111,Ulster,7.554223714538477
36113,Warren,6.764092542760004
36115,Washington,9.429802851338955
36117,Wayne,5.972280179584228
36119,Westchester,6.4404566805822645
36121,Wyoming,19.485327861171456
36123,Yates,17.25881242747731
34001,Atlantic,3.7684369435140916
34003,Bergen,3.387136397707349
34005,Burlington,2.2299542797372065
34007,Camden,2.6036362631777736
34009,Cape May,0.8278975973424632
34011,Cumberland,1.8762585683260424
34013,Essex,0.9558667572169353
34015,Gloucester,6.615005525669769
34017,Hudson,0.8039822789032423
34019,Hunterdon,3.3809598205466713
34021,Mercer,3.113779880231704
34023,Middlesex,3.918712736009064
34025,Monmouth,6.239976610556446
34027,Morris,3.12353673319119
34029,Ocean,1.0102365531257143
34031,Passaic,1.7490993843284672
34033,Salem,3.138630939441012
34035,Somerset,1.0368726298086894
34037,Sussex,6.339927196257065
34039,Union,3.192474748460984
34041,Warren,10.692608947475607
