name,group,latitude,longitude
Bridgeport Hospital Milford Campus,Basic,41.2165452,-73.0653604
Charlotte Hungerford Hospital,Basic,41.7922705,-73.1337694
Day Kimball Hospital,Basic,41.906093,-71.9130282
Greenwich Hospital,Basic,41.034299,-73.6306463
Hospital of Central Connecticut,Basic,41.6613815,-72.7867116
Lawrence + Memorial Hospital,Basic,41.3363582,-72.1047255
Manchester Memorial Hospital,Basic,41.7816396,-72.52584
Middlesex Hospital,Basic,41.5543991,-72.6472261
Norwalk Hospital,Basic,41.1108289,-73.4219525
Rockville General Hospital,Basic,41.866395,-72.4513197
Sharon Hospital,Basic,41.8809637,-73.481996
Stamford Hospital,Basic,41.0545224,-73.5525264
Waterbury Hospital,Basic,41.5606248,-73.0592343
Windham Hospital,Basic,41.7182257,-72.2272658
