name,group,latitude,longitude
Bridgeport Hospital Milford Campus,Basic,41.2165452,-73.0653604
Charlotte Hungerford Hospital,Basic,41.7922705,-73.1337694
Day Kimball Hospital,Basic,41.906093,-71.9130282
Greenwich Hospital,Basic,41.034299,-73.6306463
Griffin Hospital,Basic,41.3364349,-73.0905123
THOCC - New Britain General,Basic,41.6676,-72.7793
THOCC - Bradley General,Basic,41.5954,-72.8786
Johnson Memorial Hospital,Basic,41.9801841,-72.3910764
Lawrence + Memorial Hospital,Basic,41.3363582,-72.1047255
Manchester Memorial Hospital,Basic,41.7816396,-72.52584
Middlesex Hospital,Basic,41.5543991,-72.6472261
MidState Hospital,Basic,41.5584,-72.7963
New Milford Hospital,Basic,41.581721,-73.4096831
Rockville General Hospital,Basic,41.866395,-72.4513197
Sharon Hospital,Basic,41.8809637,-73.481996
St. Mary's Hospital,Basic,41.5527794,-73.0363478
Stamford Hospital,Basic,41.0545224,-73.5525264
"John Dempsey Hospital, Farmington, CT",Basic,41.7308603,-72.7910027
Waterbury Hospital,Basic,41.5606248,-73.0592343
Windham Hospital,Basic,41.7182257,-72.2272658
William W. Backus Hospital,Basic,41.5427325,-72.0886873
"Yale New Haven Hospital Saint Raphael Campus, New Haven, CT",Basic,41.3101437,-72.9429314
