name,group,latitude,longitude,fips
Bridgeport Hospital Milford Campus,Basic,41.2165452,-73.0653604,09009
Charlotte Hungerford Hospital,Basic,41.7922705,-73.1337694,09005
Day Kimball Hospital,Basic,41.906093,-71.9130282,09015
Greenwich Hospital,Basic,41.034299,-73.6306463,09001
Griffin Hospital,Basic,41.3364349,-73.0905123,09009
THOCC - New Britain General,Basic,41.6676,-72.7793,09003
THOCC - Bradley General,Basic,41.5954,-72.8786,09003
Johnson Memorial Hospital,Basic,41.9801841,-72.3910764,09013
Lawrence + Memorial Hospital,Basic,41.3363582,-72.1047255,09011
Manchester Memorial Hospital,Basic,41.7816396,-72.52584,09003
Middlesex Hospital,Basic,41.5543991,-72.6472261,09007
MidState Hospital,Basic,41.5584,-72.7963,09009
New Milford Hospital,Basic,41.581721,-73.4096831,09005
Rockville General Hospital,Basic,41.866395,-72.4513197,09013
Sharon Hospital,Basic,41.8809637,-73.481996,09005
St. Mary's Hospital,Basic,41.5527794,-73.0363478,09009
Stamford Hospital,Basic,41.0545224,-73.5525264,09001
"John Dempsey Hospital, Farmington, CT",Basic,41.7308603,-72.7910027,09003
Waterbury Hospital,Basic,41.5606248,-73.0592343,09009
Windham Hospital,Basic,41.7182257,-72.2272658,09015
William W. Backus Hospital,Basic,41.5427325,-72.0886873,09011
"Yale New Haven Hospital Saint Raphael Campus, New Haven, CT",Basic,41.3101437,-72.9429314,09009
