name,designation,address,latitude,longitude
AtlanticCare Regional Medical Center,Comprehensive,"1925 Pacific Ave, Atlantic City, NJ 08401",39.35795913271,-74.433683226706
Valley Hospital,Comprehensive,"223 N Van Dien Ave, Ridgewood, NJ 07450",40.982827631871,-74.10180789683
Hackensack University Medical Center,Comprehensive,"30 Prospect Ave, Hackensack, NJ 07601",40.884466612276,-74.057638337517
Cooper University Hospital,Comprehensive,"1 Cooper Plaza, Camden, NJ 08103",39.940853839241,-75.11577395674
Our Lady of Lourdes Medical Center,Comprehensive,"1600 Haddon Ave, Camden, NJ 08103",,
University Hospital,Comprehensive,"150 Bergen St, Newark, NJ 07103",40.739774344157,-74.192687142082
Saint Barnabas Medical Center,Comprehensive,"94 Old Short Hills Rd, Livingston, NJ 07039",40.76507063643,-74.301965463713
Jefferson Washington Township Hospital,Comprehensive,"435 Hurffville-Cross Keys Rd, Turnersville, NJ 08012",39.733641184135,-75.064733717624
Capital Health System at Fuld,Comprehensive,"750 Brunswick Ave, Trenton, NJ 08638",40.236022199026,-74.752690123503
Robert Wood Johnson University Hospital New Brunswick,Comprehensive,"1 Robert Wood Johnson Pl, New Brunswick, NJ 08901",,
JFK Medical Center,Comprehensive,"65 James St, Edison, NJ 08820",40.557484048698,-74.34760322212
Jersey Shore Medical Center,Comprehensive,"1945 Route 33, Neptune, NJ 07753",40.207880241747,-74.038288554139
Morristown Memorial Hospital,Comprehensive,"100 Madison Ave, Morristown, NJ 07960",,
St. Joseph's Regional Medical Center,Comprehensive,"703 Main St, Paterson, NJ 07503",40.90260266604,-74.166813271914
Overlook Hospital,Comprehensive,"99 Beauvoir Ave, Summit, NJ 07901",40.712373866146,-74.354378694007
AtlanticCare Regional Medical Center - Jimmie Leeds Road,Primary,"Jimmie Leeds Rd, Pomona, NJ 08240",,
Shore Memorial Hospital,Primary,"1 E New York Ave, Somers Point, NJ 08244",39.31484743738,-74.594975087242
Hackensack UMC at Pascack Valley,Primary,"250 Old Hook Rd, Westwood, NJ 07675",40.983830947753,-74.015045795016
Holy Name Hospital,Primary,"718 Teaneck Rd, Teaneck, NJ 07666",40.881558852609,-74.00920001071
Englewood Hospital,Primary,"350 Engle St, Englewood, NJ 07631",,
Virtua Memorial Hospital - Burlington County,Primary,"175 Madison Ave, Mount Holly, NJ 08060",39.986157363725,-74.795527699549
Virtua West Jersey Hospital - Marlton,Primary,"90 Brick Rd, Marlton, NJ 08053",39.87976135249,-74.9143064485
Lourdes Medical Center Burlington County,Primary,"218 Sunset Rd, Willingboro, NJ 08046",,
Virtua West Jersey Hospital - Voorhees,Primary,"101 Carnie Blvd, Voorhees, NJ 08043",39.864597582244,-74.95949915378
Jefferson Cherry Hill Hospital,Primary,"2201 Chapel Ave W, Cherry Hill, NJ 08002",39.929033893156,-75.017163648463
Jefferson Stratford Hospital,Primary,"18 E Laurel Rd, Stratford, NJ 08084",39.829445791161,-75.008301281537
Cape May Regional Medical Center,Primary,"2 Stone Harbor Blvd, Cape May Court House, NJ 08210",39.087411467329,-74.818577225999
Inspira Medical Center Vineland,Primary,"1505 W Sherman Ave, Vineland, NJ 08360",39.447308440011,-75.055782666803
Clara Maas Medical Center,Primary,"1 Clara Maas Dr, Belleville, NJ 07109",40.785588536559,-74.174879000145
East Orange General Hospital,Primary,"300 Central Ave, East Orange, NJ 07018",,
Hackensack UMC - Mountainside,Primary,"1 Bay Ave, Montclair, NJ 07042",,
Newark Beth Israel,Primary,"201 Lyons Ave, Newark, NJ 07112",40.710193249652,-74.213806380764
Inspira Medical Center Woodbury,Primary,"509 N Broad St, Woodbury, NJ 08096",39.84347538428,-75.149215502424
Hackensack Meridian Health Palisades Medical Center,Primary,"7600 River Rd, North Bergen, NJ 07047",40.796552621136,-73.99642383492
CarePoint Health Hoboken UMC,Primary,"308 Willow Ave, Hoboken, NJ 07030",40.740768927901,-74.033762468082
CarePoint Health Christ Hospital,Primary,"176 Palisade Ave, Jersey City, NJ 07306",40.734488859163,-74.050337102396
Jersey City Medical Center,Primary,"355 Grand St, Jersey City, NJ 07302",40.716731303812,-74.050953286597
CarePoint Health Bayonne Hospital Center,Primary,"29 E 29th St, Bayonne, NJ 07002",40.668163712261,-74.113471487135
Hunterdon Medical Center,Primary,"2100 Wescott Dr, Flemington, NJ 08822",40.531153845828,-74.85876171354
Capital Health Medical Center - Hopewell,Primary,"1 Capital Way, Pennington, NJ 08534",,
St. Francis Medical Center,Primary,"601 Hamilton Ave, Trenton, NJ 08629",40.216996665227,-74.742841770384
Robert Wood Johnson University Hospital at Hamilton,Primary,"1 Hamilton Health Place, Hamilton, NJ 08690",,
Raritan Bay Medical Center - Perth Amboy,Primary,"530 New Brunswick Ave, Perth Amboy, NJ 08861",40.52832649208,-74.31335737908
Saint Peters University Hospital,Primary,"254 Easton Ave, New Brunswick, NJ 08901",40.501795678328,-74.459256233825
Raritan Bay Medical Center Old Bridge,Primary,"1 Hospital Plaza, Old Bridge, NJ 08857",,
Penn Medicine Princeton Medical Center,Primary,"1 Plainsboro Rd, Plainsboro, NJ 08536",40.338318705081,-74.624873719256
Monmouth Medical Center,Primary,"300 2nd Ave, Long Branch, NJ 07740",40.295390144141,-73.983696008196
Riverview Medical Center,Primary,"1 Riverview Plaza, Red Bank, NJ 07701",40.353137402518,-74.064797647511
Bayshore Community Hospital,Primary,"727 N Beers St, Holmdel, NJ 07733",40.404337302575,-74.193416510058
CentraState Health Care System,Primary,"901 W Main St, Freehold, NJ 07728",40.237685053608,-74.308933371367
Chilton Memorial Hospital,Primary,"97 W Pkwy, Pompton Plains, NJ 07444",40.957965786184,-74.307670846683
Saint Clare's Hospital - Denville,Primary,"25 Pocono Rd, Denville, NJ 07834",40.894359748023,-74.463231388377
Saint Clare's Hospital - Dover,Primary,"400 W Blackwell St, Dover, NJ 07801",40.884598660208,-74.540983951478
Southern Ocean County Hospital,Primary,"1140 Route 72 W, Manahawkin, NJ 08050",39.719151417939,-74.285139115811
Community Medical Center,Primary,"99 Route 37 W, Toms River, NJ 08755",39.963586367264,-74.195282755148
Monmouth Medical Center - Southern Campus,Primary,"600 River Ave, Lakewood, NJ 08701",40.074125290296,-74.217434768341
Ocean Medical Center,Primary,"425 Jack Martin Blvd, Brick, NJ 08724",40.077445856877,-74.128187666369
St. Joseph's Hospital Wayne,Primary,"224 Hamburg Turnpike, Wayne, NJ 07470",40.948332705612,-74.207277458644
St. Mary's Hospital,Primary,"350 Boulevard, Passaic, NJ 07055",40.859324898442,-74.138958475224
Inspira Medical Center Elmer,Primary,"501 Front St, Elmer, NJ 08318",39.588419860896,-75.179383419175
Memorial Hospital of Salem,Primary,"310 Woodstown Rd, Salem, NJ 08079",39.594906112505,-75.442688056287
Somerset Medical Center,Primary,"110 Rehill Ave, Somerville, NJ 08876",40.567678537548,-74.596016561747
Newton Memorial Hospital,Primary,"175 High St, Newton, NJ 07860",41.057032395513,-74.760308265084
Trinitas Hospital,Primary,"225 Williamson St, Elizabeth, NJ 07202",40.659767268841,-74.214457047876
Robert Wood Johnson University Hospital at Rahway,Primary,"865 Stone St, Rahway, NJ 07065",40.612221962327,-74.291204269256
Hackettstown Regional Medical Center,Primary,"651 Willow Grove St, Hackettstown, NJ 07840",40.861440871763,-74.814088499987
St. Luke's Warren Hospital,Primary,"185 Roseberry St, Phillipsburg, NJ 08865",40.701968309972,-75.179746614269
