name,address,latitude,longitude
AtlanticCare Regional Medical Center - Jimme Leeds Road,"Jimmie Leeds Rd, Pomona, NJ 08240",39.4826789,-74.5803929
Shore Memorial Hospital,"1 E New York Ave, Somers Point, NJ 08244",39.314837,-74.594885
Hackensack UMC at Pascack Valley,"250 Old Hook Rd, Westwood, NJ 07675",40.9847885,-74.0148824
Holy Name Hospital,"718 Teaneck Rd, Teaneck, NJ 07666",40.8828876,-74.0101951
Englewood Hospital,"350 Engle St, Englewood, NJ 07631",40.9043721,-73.9685129
Virtua Memorial Hospital - Burlington County,"175 Madison Ave, Mount Holly, NJ 08060",39.9861087,-74.7947234
Virtua West Jersey Hospital - Marlton,"90 Brick Rd, Marlton, NJ 08053",39.8817545,-74.918671
Lourdes Medical Center Burlington County,"218 Sunset Rd, Willingboro, NJ 08046",40.0461623,-74.8799556
Virtua West Jersey Hospital - Voorhees,"101 Carnie Blvd, Voorhees, NJ 08043",39.8643689,-74.9591758
Jefferson Cherry Hill Hospital,"2201 Chapel Ave W, Cherry Hill, NJ 08002",39.9273627,-75.0166459
Jefferson Stratford Hospital,"18 East Laurel Rd, Stratford, NJ 08084",39.827729,-75.009395
Cape May Regional Medical Center,"2 Stone Harbor Blvd, Cape May Court House, NJ 08210",39.0873107,-74.8162494
Inspira Medical Center Vineland,"1505 W Sherman Ave, Vineland, NJ 08360",39.4444106,-75.0585828
Clara Maas Medical Center,"1 Clara Maas Dr, Belleville, NJ 07109",40.7846991,-74.17705149
East Orange General Hospital,"300 Central Ave, East Orange, NJ 07018",40.7542133,-74.2134091
Hackensack UMC - Mountainside,"1 Bay Ave, Montclair, NJ 07042",40.8112205,-74.2040337
Newark Beth Israel,"201 Lyons Ave, Newark, NJ 07112",40.7102728,-74.2125846
Inspira Medical Center Woodbury,"509 N Broad St, Woodbury, NJ 08096",39.843517,-75.1492207
Hackensack Meridian Health Palisades Medical Center,"7600 River Rd, North Bergen, NJ 07047",40.7939772,-73.9958757
CarePoint Health Hoboken UMC,"308 Willow Ave, Hoboken, NJ 07030",40.7414825,-74.0339704
CarePoint Health Christ Hospital,"176 Palisade Ave, Jersey City, NJ 07306",40.7339115,-74.0499894
Jersey City Medical Center,"355 Grand St, Jersey City, NJ 07302",40.7152568,-74.0508239
CarePoint Health Bayonne Hospital Center,"29 E 29th St, Bayonne, NJ 07002",40.6681519,-74.112651
Hunterdon Medical Center,"2100 Wescott Dr, Flemington, NJ 08822",40.5313275,-74.8613532
Capital Health Medical Center - Hopewell,"1 Capital Way, Pennington, NJ 08534",40.2922921,-74.8053844
St. Francis Medical Center,"601 Hamilton Ave, Trenton, NJ 08629",40.2162388,-74.7413028
Robert Wood Johnson University Hospital at Hamilton,"1 Hamilton Health Place, Hamilton, NJ 08690",40.2150157,-74.673132
Raritan Bay Medical Center - Perth Amboy,"530 New Brunswick Ave, Perth Amboy, NJ 08861",40.5191054,-74.2810186
Saint Peters University Hospital,"254 Easton Ave, New Brunswick, NJ 08901",40.5006491,-74.4598666
Raritan Bay Medical Center Old Bridge,"1 Hospital Plaza, Old Bridge, NJ 08857",40.38335189,-74.32343604
Penn Medicine Princeton Medical Center,"1 Plainsboro Rd, Plainsboro, NJ 08536",40.339764,-74.6238206
Monmouth Medical Center,"300 2nd Ave, Long Branch, NJ 07740",40.2952695,-73.9856125
Riverview Medical Center,"1 Riverview Plaza, Red Bank, NJ 07701",40.3536788,-74.0631876
Bayshore Community Hospital,"727 N Beers St, Holmdel, NJ 07733",40.4065996,-74.1917779
CentraState Health Care System,"901 W Main St, Freehold, NJ 07728",40.2375176,-74.3124828
Chilton Memorial Hospital,"97 W Pkwy, Pompton Plains, NJ 07444",40.9581982,-74.3099391
Saint Clare's Hospital - Denville,"25 Pocono Rd, Denville, NJ 07834",40.895596,-74.464945
Saint Clare's Hospital - Dover,"400 W Blackwell St, Dover, NJ 07801",40.886019,-74.575453
Southern Ocean County Hospital,"1140 Route 72 W, Manahawkin, NJ 08050",39.72145822,-74.28496733
Community Medical Center,"99 Route 37 W, Toms River, NJ 08755",39.9639439,-74.2157608
Monmouth Medical Center - Southern Campus,"600 River Ave, Lakewood, NJ 08701",40.0732127,-74.219405
Ocean Medical Center,"425 Jack Martin Blvd, Brick, NJ 08724",40.0766481,-74.1330387
St Joseph's Hospital Wayne,"224 Hamburg Turnpike, Wayne, NJ 07470",40.946653,-74.2048591
St. Mary's Hospital,"350 Boulevard, Passaic, NJ 07055",40.8594692,-74.1379857
Inspira Medical Center Elmer,"501 Front St, Elmer, NJ 08318",39.5885477,-75.1793496
Memorial Hospital of Salem,"310 Woodstown Rd, Salem, NJ 08079",39.590831,-75.3429072
Somerset Medical Center,"110 Rehill Ave, Somerville, NJ 08876",40.5680735,-74.5949568
Newton Memorial Hospital,"175 High St, Newton, NJ 07860",41.0569189,-74.7684734
Trinitas Hospital,"225 Williamson St, Elizabeth, NJ 07202",40.6587509,-74.2142244
Robert Wood Johnson University Hospital at Rahway,"865 Stone St, Rahway, NJ 07065",40.6131367,-74.2909063
Hackettstown Regional Medical Center,"651 Willow Grove St, Hackettstown, NJ 07840",40.8618862,-74.8156281
St. Luke's Warren Hospital,"185 Roseberry St, Phillipsburg, NJ 08865",40.7019807,-75.1781942
