name,designation,address,latitude,longitude
Albany Medical Center,Comprehensive Stroke Center,"43 New Scotland Ave, Albany, NY 12208",42.65267632,-73.77501017
Brookdale Hospital Medical Center,Comprehensive Stroke Center,"1 Brookdale Plaza, Brooklyn, NY 11212",40.65524172,-73.91220547
Buffalo General Medical Center,Comprehensive Stroke Center,"100 High St, Buffalo, NY 14203",42.90038191,-78.86539888
Crouse Hospital,Comprehensive Stroke Center,"736 Irving Ave, Syracuse, NY 13210",43.04148322,-76.13793403
Good Samaritan Hospital Medical Center,Comprehensive Stroke Center,"1000 Montauk Hwy, West Islip, NY 11795",40.69581267,-73.29461485
Jamaica Hospital Medical Center,Comprehensive Stroke Center,"8900 Van Wyck Expy, Jamaica, NY 11418",40.70132747,-73.8163507
Lenox Hill Hospital,Comprehensive Stroke Center,"100 E 77th St, New York, NY 10075",40.77424291,-73.96144675
Maimonides Medical Center,Comprehensive Stroke Center,"4802 10th Ave, Brooklyn, NY 11219",40.63955403,-73.99825417
Mercy Hospital Of Buffalo,Comprehensive Stroke Center,"565 Abbott Rd, Buffalo, NY 14220",42.8482445,-78.81250162
Montefiore Medical Center - Henry and Lucy Moses Division,Comprehensive Stroke Center,"3457 Bainbridge Ave, Bronx, NY 10467",40.88044071,-73.8787797
Mount Sinai Hospital,Comprehensive Stroke Center,"1468 Madison Ave, New York, NY 10029",40.79039914,-73.95193585
North Shore University Hospital,Comprehensive Stroke Center,"300 Community Dr, Manhasset, NY 11030",40.77619541,-73.70296568
NYC Health + Hospitals/Bellevue,Comprehensive Stroke Center,"462 1st Ave, New York, NY 10016",40.73970918,-73.97639332
NYU Langone Hospital - Brooklyn,Comprehensive Stroke Center,"150 55th St, Brooklyn, NY 11220",40.64689954,-74.0209651
NYU Langone Hospital - Long Island,Comprehensive Stroke Center,"259 1st St, Mineola, NY 11501",40.74165027,-73.64325366
NYU Langone Health - Tisch Hospital,Comprehensive Stroke Center,"550 1st Ave, New York, NY 10016",40.74235468,-73.97446795
NewYork-Presbyterian Hospital - Columbia University Irving Medical Center,Comprehensive Stroke Center,"622 W 168th St, New York, NY 10032",40.84140552,-73.94069936
NewYork-Presbyterian Hospital/Weill Cornell Medical Center,Comprehensive Stroke Center,"1414 York Ave, New York, NY 10021",40.76882668,-73.95221646
Rochester General Hospital,Comprehensive Stroke Center,"1425 Portland Ave, Rochester, NY 14621",43.19140639,-77.58442356
South Shore University Hospital,Comprehensive Stroke Center,"301 E Main St, Bay Shore, NY 11706",40.72513836,-73.23964479
Staten Island University Hospital - North,Comprehensive Stroke Center,"475 Seaview Ave, Staten Island, NY 10305",40.58349911,-74.08594261
Stony Brook University Hospital,Comprehensive Stroke Center,"101 Nicolls Rd, Stony Brook, NY 11794",40.91048801,-73.11472545
