name,address,latitude,longitude
Arnot Ogden Medical Center,"600 Roe Ave, Elmira, NY 14905",42.09931599,-76.82674305
Auburn Community Hospital,"17 Lansing St, Auburn, NY 13021",42.94082145,-76.56457698
BronxCare Health Systems,"1650 Grand Concourse, Bronx, NY 10457",40.84439724,-73.91125392
Brooklyn Hospital Center,"121 Dekalb Ave, Brooklyn, NY 11201",40.68964572,-73.97220892
Canton-Potsdam Hospital,"50 Leroy St, Potsdam, NY 13676",44.67602339,-74.98153053
Cayuga Medical Center,"101 Dates Dr, Ithaca, NY 14850",42.4708633,-76.53760492
Columbia Memorial Hospital,"71 Prospect Ave, Hudson, NY 12534",42.2459799,-73.77730146
Ellis Hospital,"1101 Nott St, Schenectady, NY 12308",42.81988076,-73.91902062
F.F. Thompson Hospital,"350 Parrish St, Canandaigua, NY 14424",42.87486536,-77.29023511
Flushing Hospital Medical Center,"4500 Parsons Blvd, Flushing, NY 11355",40.75554686,-73.8156293
Garnet Health Medical Center,"707 E Main St, Middletown, NY 10940",41.43992404,-74.36751296
Garnet Health Medical Center- Catskills- Harris Campus,"68 Harris-Bushville Rd, Harris, NY 12742",41.70962325,-74.73726311
Geneva General Hospital,"196 North St, Geneva, NY 14456",42.87575167,-76.9879933
Glen Cove Hospital,"101 St Andrews Ln, Glen Cove, NY 11542",40.87173575,-73.62149997
Glens Falls Hospital,"100 Park St, Glens Falls, NY 12801",43.30726532,-73.64609883
Good Samaritan Hospital Of Suffern,"255 Lafayette Ave, Suffern, NY 10901",41.11223877,-74.13511272
Guthrie Corning Hospital,"1 Guthrie Dr, Corning, NY 14830",42.13585332,-76.969488
Guthrie Cortland Medical Center,"134 Homer Ave, Cortland, NY 13045",42.60754553,-76.18607417
HealthAlliance Hospital Mary's Ave Campus,"105 Marys Ave, Kingston, NY 12401",41.92255323,-73.99956334
Highland Hospital,"1000 South Ave, Rochester, NY 14620",43.13576472,-77.60751475
Huntington Hospital,"270 Park Ave, Huntington, NY 11743",40.87917653,-73.41741418
John T Mather Memorial Hospital,"75 N Country Rd, Port Jefferson, NY 11777",40.93972604,-73.05321714
Jones Memorial Hospital,"191 N Main St, Wellsville, NY 14895",42.12300142,-77.95011229
Kenmore Mercy Hospital,"2950 Elmwood Ave, Buffalo, NY 14217",42.97793978,-78.87875655
Long Island Community Hospital,"101 Hospital Rd, Patchogue, NY 11772",40.78033949,-72.97816513
Long Island Jewish Forest Hills (Forest Hills Hospital),"102-01 66th Rd, Forest Hills, NY 11375",40.72854879,-73.8516872
Long Island Jewish Medical Center,"270-05 76th Ave, New Hyde Park, NY 11040",40.75333388,-73.70688286
Long Island Jewish Valley Stream,"900 Franklin Ave, Valley Stream, NY 11580",40.68166883,-73.68577805
Maimonides Midwood Community Hospital,"2525 Kings Hwy, Brooklyn, NY 11229",40.61325536,-73.9489297
Mary Imogene Bassett Hospital,"1 Atwell Rd, Cooperstown, NY 13326",42.69610879,-74.92404653
Mercy Hospital,"1000 N Village Ave, Rockville Centre, NY 11570",40.68801485,-73.63120564
Millard Fillmore Suburban Hospital,"1540 Maple Rd, Williamsville, NY 14221",42.99116915,-78.72988752
Montefiore Hospital Nyack,"160 N Midland Ave, Nyack, NY 10960",41.09669792,-73.92478799
Montefiore Medical Center - Jack D Weiler,"1825 Eastchester Rd, Bronx, NY 10461",40.85027345,-73.84494524
Montefiore Mount Vernon Hospital,"12 N 7th Ave, Mount Vernon, NY 10550",40.91286854,-73.84011775
Montefiore New Rochelle Hospital,"16 Guion Pl, New Rochelle, NY 10801",40.91297527,-73.78711175
Montefiore- St Luke's Cornwall Hospital,"70 Dubois St, Newburgh, NY 12550",41.5034572,-74.0151053
Mount Sinai Brooklyn,"3201 Kings Hwy, Brooklyn, NY 11234",40.61775495,-73.94321569
Mount Sinai Hospital of Queens,"25-10 30th Ave, Astoria, NY 11102",40.76840701,-73.92476881
Mount Sinai Morningside,"419 W 114th St, New York, NY 10025",40.80491951,-73.96043367
Mount Sinai South Nassau Hospital,"1 Healthy Way, Oceanside, NY 11572",40.65186887,-73.63006151
