STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
34,001,Atlantic,New Jersey,274534,+39.428157,-074.584723
34,003,Bergen,New Jersey,955732,+40.916918,-074.056816
34,005,Burlington,New Jersey,461860,+39.983738,-074.836627
34,007,Camden,New Jersey,523485,+39.863128,-075.026364
34,009,Cape May,New Jersey,95263,+39.096879,-074.806953
34,011,Cumberland,New Jersey,154152,+39.431713,-075.089600
34,013,Essex,New Jersey,863728,+40.767919,-074.216055
34,015,Gloucester,New Jersey,302294,+39.748752,-075.130305
34,017,Hudson,New Jersey,724854,+40.741644,-074.061448
34,019,Hunterdon,New Jersey,128947,+40.572604,-074.895969
34,021,Mercer,New Jersey,387340,+40.255387,-074.699450
34,023,Middlesex,New Jersey,863162,+40.484409,-074.388583
34,025,Monmouth,New Jersey,643615,+40.291180,-074.148590
34,027,Morris,New Jersey,509285,+40.859148,-074.500310
34,029,Ocean,New Jersey,637229,+39.978586,-074.215904
34,031,Passaic,New Jersey,524118,+40.923998,-074.189868
34,033,Salem,New Jersey,64837,+39.627242,-075.378171
34,035,Somerset,New Jersey,345361,+40.559937,-074.578391
34,037,Sussex,New Jersey,144221,+41.090477,-074.655456
34,039,Union,New Jersey,575345,+40.659355,-074.293688
34,041,Warren,New Jersey,109632,+40.794655,-075.014893
