fips,sri,scai,gai,sbpi,sri_flag,scai_flag,gai_flag,sbpi_class,driver_1,driver_1_pctile,driver_2,driver_2_pctile,driver_3,driver_3_pctile
36001,29.0154,73.4734,75.485,27.3687,False,False,False,1,binge_drinking_prevalence,95.0549,pop_density,69.2308,poverty_rate,57.1429
36003,72.7409,16.1813,32.7849,74.9591,True,True,True,4,drive_time_advanced,95.6044,poverty_rate,93.4066,nearest_stroke_distance_advanced,93.4066
36005,100.0,44.6298,87.0399,69.2031,True,False,False,2,poverty_rate,100.0,pcnt_low_income,100.0,diabetes_prevalence,100.0
36007,65.7803,51.1151,86.2495,50.3057,False,False,False,1,poverty_rate,98.3516,pcnt_low_income,95.6044,pcnt_65_plus,67.033
36009,91.7553,33.2425,28.1512,80.2747,True,False,True,3,smoking_prevalence,99.4505,pcnt_low_income,97.8022,poverty_rate,96.7033
36011,78.766,9.5357,70.756,72.3711,True,True,False,3,pcp_per_100k,95.6044,smoking_prevalence,87.3626,neurologists_per_100k,87.3626
36013,86.2308,33.4318,17.5029,79.5853,True,False,True,3,pcnt_low_income,98.9011,nearest_stroke_distance_any,97.8022,drive_time_any,95.6044
36015,71.884,48.4683,53.2863,60.7442,False,False,False,1,poverty_rate,88.4615,pcnt_low_income,86.8132,smoking_prevalence,84.0659
36017,84.6747,12.9341,24.7373,83.5097,True,True,True,4,pcnt_bachelors,95.6044,stroke_prevalence,95.6044,nearest_stroke_distance_any,95.6044
36019,63.701,50.479,0.0,66.7068,False,False,True,2,drive_time_any,100.0,nearest_stroke_distance_any,100.0,nearest_stroke_distance_advanced,100.0
36021,62.4565,28.3109,42.6811,64.1988,False,False,False,1,high_cholesterol_prevalence,96.7033,pcnt_65_plus,95.6044,neurologists_per_100k,87.3626
36023,45.6635,18.8113,55.5779,56.0728,False,True,False,2,binge_drinking_prevalence,97.8022,neurologists_per_100k,87.3626,pcp_per_100k,79.1209
36025,89.392,12.0297,15.5009,87.9869,True,True,True,4,hypertension_prevalence,98.9011,stroke_prevalence,97.8022,drive_time_any,97.8022
36027,31.3416,39.4173,60.9497,41.6557,False,False,False,1,pop_density,58.2418,hospital_beds_per_100k,54.9451,drive_time_any,49.4505
36029,51.2705,54.5789,68.9843,45.4647,False,False,False,1,binge_drinking_prevalence,85.1648,poverty_rate,72.5275,pop_density,71.4286
36031,75.5984,10.6483,6.2893,83.3468,True,True,True,4,nearest_stroke_distance_any,98.9011,pcnt_65_plus,97.2527,drive_time_any,96.7033
36033,87.5704,44.5895,4.9525,79.4178,True,False,True,2,drive_time_advanced,100.0,drive_time_any,98.9011,nearest_stroke_distance_advanced,98.9011
36035,85.7252,20.8869,25.3934,81.5179,True,True,True,4,smoking_prevalence,96.7033,hypertension_prevalence,95.6044,nearest_stroke_distance_any,92.3077
36037,58.2086,27.0449,66.922,57.6064,False,False,False,1,pcp_per_100k,90.1099,pcnt_bachelors,82.4176,binge_drinking_prevalence,70.3297
36039,71.3427,4.8287,34.6129,77.3002,False,True,False,2,hospital_beds_per_100k,96.7033,pcnt_65_plus,93.4066,high_cholesterol_prevalence,90.1099
36041,91.3218,0.0,18.1979,92.0213,True,True,True,4,pcnt_65_plus,100.0,hypertension_prevalence,100.0,stroke_prevalence,100.0
36043,78.5273,5.269,44.3853,78.8059,True,True,False,3,hospital_beds_per_100k,93.4066,binge_drinking_prevalence,92.3077,pcp_per_100k,92.3077
36045,54.6383,28.0155,45.1504,59.8844,False,False,False,1,binge_drinking_prevalence,98.9011,nearest_stroke_distance_advanced,95.6044,obesity_prevalence,93.4066
36047,43.2407,39.4243,96.8848,40.4161,False,False,False,1,pop_density,98.9011,poverty_rate,98.3516,diabetes_prevalence,84.0659
36049,82.6529,19.1474,23.4773,80.8868,True,True,True,4,obesity_prevalence,98.9011,pcnt_bachelors,94.5055,nearest_stroke_distance_any,91.2088
36051,50.2721,14.3713,34.7347,63.8777,False,True,False,2,binge_drinking_prevalence,93.4066,neurologists_per_100k,87.3626,drive_time_any,80.2198
36053,54.4988,29.4571,31.5971,62.0928,False,False,True,2,drive_time_any,89.011,obesity_prevalence,88.4615,neurologists_per_100k,87.3626
36055,46.7999,68.919,77.3202,37.2602,False,False,False,1,binge_drinking_prevalence,85.1648,pop_density,75.8242,poverty_rate,62.0879
36057,78.801,22.9677,28.6683,76.7765,True,False,True,3,obesity_prevalence,94.5055,pcnt_low_income,93.4066,pcnt_bachelors,92.3077
36059,15.1675,71.4941,72.369,21.6617,False,False,False,1,pop_density,91.2088,high_cholesterol_prevalence,71.978,hospital_beds_per_100k,41.7582
36061,0.0,100.0,100.0,0.0,False,False,False,1,pop_density,100.0,binge_drinking_prevalence,100.0,poverty_rate,88.4615
36063,71.0646,34.5804,46.6808,65.822,False,False,False,1,obesity_prevalence,95.6044,hypertension_prevalence,86.8132,pcnt_low_income,78.5714
36065,72.7334,47.7921,57.8364,60.4618,True,False,False,2,obesity_prevalence,84.6154,physical_inactivity,83.5165,hypertension_prevalence,78.5714
36067,53.3873,65.6784,79.0113,41.1879,False,False,False,1,obesity_prevalence,90.1099,poverty_rate,71.4286,pop_density,68.1319
36069,43.8788,53.9024,57.1461,44.3395,False,False,False,1,pcnt_65_plus,84.6154,binge_drinking_prevalence,64.2857,nearest_stroke_distance_advanced,54.9451
36071,44.3186,37.0394,42.1043,52.6266,False,False,False,1,drive_time_advanced,69.2308,pop_density,65.9341,drive_time_any,65.9341
36073,77.2792,0.2631,33.5407,81.8525,True,True,True,4,pcnt_bachelors,98.9011,pcp_per_100k,98.9011,smoking_prevalence,95.0549
36075,75.828,19.2208,28.6434,76.4191,True,True,True,4,smoking_prevalence,95.0549,poverty_rate,91.7582,drive_time_any,91.2088
36077,52.5644,75.9997,33.367,46.8089,False,False,True,2,pcnt_65_plus,82.967,drive_time_advanced,81.3187,nearest_stroke_distance_advanced,79.1209
36079,18.0243,21.8819,57.3072,40.9861,False,False,False,1,hospital_beds_per_100k,83.5165,binge_drinking_prevalence,81.8681,neurologists_per_100k,68.1319
36081,50.8909,34.1743,84.9308,48.207,False,False,False,1,diabetes_prevalence,98.9011,pop_density,96.7033,physical_inactivity,96.7033
36083,39.7594,26.3561,59.931,49.9867,False,False,False,1,binge_drinking_prevalence,89.011,pcp_per_100k,67.033,neurologists_per_100k,67.033
36085,44.5345,45.8435,71.2421,44.2658,False,False,False,1,pop_density,94.5055,high_cholesterol_prevalence,92.8571,diabetes_prevalence,81.3187
36087,42.5033,44.9569,57.1308,46.3384,False,False,False,1,poverty_rate,86.8132,pop_density,84.6154,physical_inactivity,71.978
36089,85.8718,22.0935,25.5933,81.1892,True,False,True,3,obesity_prevalence,100.0,drive_time_advanced,97.8022,nearest_stroke_distance_advanced,97.8022
36091,27.4676,32.6434,48.3701,44.2668,False,False,False,1,hospital_beds_per_100k,90.1099,binge_drinking_prevalence,78.022,obesity_prevalence,64.2857
36093,45.1267,49.5356,64.9484,44.713,False,False,False,1,obesity_prevalence,73.6264,pop_density,70.3297,poverty_rate,53.8462
36095,68.9522,8.7213,24.2697,77.0058,False,True,True,2,drive_time_any,94.5055,pcnt_65_plus,92.3077,nearest_stroke_distance_any,90.1099
36097,80.5962,22.6845,25.9577,78.3012,True,False,True,3,stroke_prevalence,95.6044,hypertension_prevalence,92.3077,drive_time_advanced,92.3077
36099,78.9907,0.8697,35.7499,82.0845,True,True,False,3,hospital_beds_per_100k,96.7033,pcp_per_100k,93.4066,pcnt_uninsured,93.4066
36101,73.1292,26.8844,21.1894,74.2614,True,False,True,3,nearest_stroke_distance_advanced,94.5055,drive_time_advanced,93.4066,drive_time_any,90.1099
36103,24.0937,46.4336,57.3611,36.6445,False,False,False,1,pop_density,82.4176,high_cholesterol_prevalence,75.2747,binge_drinking_prevalence,60.989
36105,70.4903,22.8318,45.0748,69.3806,False,False,False,1,physical_inactivity,93.4066,drive_time_advanced,91.2088,diabetes_prevalence,86.8132
36107,68.0191,3.4146,38.6335,75.2585,False,True,False,2,hospital_beds_per_100k,96.7033,pcp_per_100k,89.011,neurologists_per_100k,87.3626
36109,7.5921,38.4493,43.206,33.6201,False,False,False,1,binge_drinking_prevalence,95.0549,poverty_rate,85.7143,hospital_beds_per_100k,84.6154
36111,55.1534,33.2049,48.9648,57.8223,False,False,False,1,hospital_beds_per_100k,89.011,hypertension_prevalence,86.8132,pcnt_uninsured,82.967
36113,55.1156,78.9089,40.0368,45.8778,False,False,False,1,pcnt_65_plus,94.5055,nearest_stroke_distance_advanced,91.2088,drive_time_advanced,79.1209
36115,69.3898,4.0436,32.2631,77.0292,False,True,True,2,hospital_beds_per_100k,96.7033,high_cholesterol_prevalence,91.2088,pcnt_bachelors,89.5604
36117,65.3506,21.3861,45.3612,67.1872,False,True,False,2,pcp_per_100k,96.7033,obesity_prevalence,92.3077,pcnt_uninsured,74.7253
36119,17.1094,71.284,77.4005,21.6894,False,False,False,1,pop_density,85.7143,pcnt_uninsured,65.9341,diabetes_prevalence,33.5165
36121,71.8468,10.5536,29.8426,76.7888,False,True,True,2,pcnt_bachelors,96.7033,pcp_per_100k,94.5055,binge_drinking_prevalence,89.011
36123,76.2512,14.0591,28.0054,78.3068,True,True,True,4,pcnt_uninsured,100.0,stroke_prevalence,90.6593,drive_time_advanced,90.1099
34001,65.5091,46.0194,60.043,56.9401,False,False,False,1,high_cholesterol_prevalence,95.6044,diabetes_prevalence,95.0549,pcnt_uninsured,89.011
34003,12.6022,63.4054,74.1576,22.448,False,False,False,1,high_cholesterol_prevalence,94.5055,pop_density,90.1099,pcnt_uninsured,80.2198
34005,32.6945,40.6144,64.0417,41.3546,False,False,False,1,high_cholesterol_prevalence,87.9121,pop_density,67.033,hospital_beds_per_100k,64.8352
