fips,county,state,pop_density
34035,Somerset,NJ,1155.61
34025,Monmouth,NJ,1372.9
34013,Essex,NJ,6750.48
34033,Salem,NJ,196.88
34005,Burlington,NJ,586.98
34041,Warren,NJ,312.03
34015,Gloucester,NJ,957.81
34023,Middlesex,NJ,2792.66
34037,Sussex,NJ,281.84
34031,Passaic,NJ,2758.22
34001,Atlantic,NJ,495.36
34007,Camden,NJ,2381.6
34017,Hudson,NJ,15272.08
34039,Union,NJ,5573.09
34021,Mercer,NJ,1700.26
34009,Cape May,NJ,376.15
34029,Ocean,NJ,1049.19
34019,Hunterdon,NJ,304.28
34011,Cumberland,NJ,315.13
34003,Bergen,NJ,4114.19
34027,Morris,NJ,1115.83
36099,Seneca,NY,99.94
36021,Columbia,NY,95.28
36041,Hamilton,NY,2.96
36051,Livingston,NY,96.82
36105,Sullivan,NY,82.55
36075,Oswego,NY,124.17
36085,Richmond,NY,8530.34
36011,Cayuga,NY,107.7
36115,Washington,NY,72.24
36083,Rensselaer,NY,244.16
36061,New York,NY,70502.82
36005,Bronx,NY,32162.17
36121,Wyoming,NY,66.7
36091,Saratoga,NY,294.72
36035,Fulton,NY,105.43
36057,Montgomery,NY,122.47
36069,Ontario,NY,174.66
36027,Dutchess,NY,373.49
36113,Warren,NY,75.39
36067,Onondaga,NY,601.08
36077,Otsego,NY,60.02
36107,Tioga,NY,91.98
36015,Chemung,NY,199.65
36117,Wayne,NY,150.42
36013,Chautauqua,NY,117.78
36043,Herkimer,NY,42.17
36053,Madison,NY,102.19
36097,Schuyler,NY,53.32
36025,Delaware,NY,30.78
36119,Westchester,NY,2299.85
36003,Allegany,NY,45.31
36045,Jefferson,NY,90.53
36089,St. Lawrence,NY,39.91
36055,Monroe,NY,1139.34
36033,Franklin,NY,28.54
36007,Broome,NY,277.87
36109,Tompkins,NY,218.18
36071,Orange,NY,501.76
36047,Kings,NY,36917.72
36095,Schoharie,NY,48.41
36065,Oneida,NY,187.68
36017,Chenango,NY,51.4
36023,Cortland,NY,91.73
36087,Rockland,NY,1962.22
36031,Essex,NY,20.5
36079,Putnam,NY,425.88
36001,Albany,NY,605.6
36039,Greene,NY,72.72
36103,Suffolk,NY,1672.12
36019,Clinton,NY,75.27
36009,Cattaraugus,NY,57.79
36029,Erie,NY,907.35
36073,Orleans,NY,99.99
36049,Lewis,NY,20.8
36063,Niagara,NY,400.99
36093,Schenectady,NY,781.27
36059,Nassau,NY,4855.92
36123,Yates,NY,72.37
36101,Steuben,NY,66.28
36111,Ulster,NY,162.18
36037,Genesee,NY,116.7
36081,Queens,NY,20714.79
09001,Fairfield,CT,1531.93
09003,Hartford,CT,1223.9
09005,Litchfield,CT,201.17
09007,Middlesex,CT,444.74
09009,New Haven,CT,1431.12
09011,New London,CT,403.8
09013,Tolland,CT,365.02
09015,Windham,CT,226.97
