county,state,population,fips,hospital_beds,hospital_beds_per_100k
Fairfield County,Connecticut,963780,09001,1606.0,166.63553923094483
Hartford County,Connecticut,898478,09003,1795.0,199.78229850925678
New Haven County,Connecticut,865717,09009,1825.0,210.807919909162
New London County,Connecticut,268518,09011,423.0,157.53133868120574
Litchfield County,Connecticut,186551,09005,158.0,84.69533800408468
Middlesex County,Connecticut,166110,09007,187.0,112.57600385286858
Tolland County,Connecticut,150906,09013,146.0,96.7489695572078
Windham County,Connecticut,117116,09015,150.0,128.07814474538065
Atlantic County,New Jersey,276643,34001,731.0,264.2394710872858
Bergen County,New Jersey,964156,34003,1902.0,197.27098104456127
Burlington County,New Jersey,472273,34005,545.0,115.39935588102644
Camden County,New Jersey,529977,34007,1414.0,266.8040311183316
Cape May County,New Jersey,94577,34009,149.0,157.54358882180657
Cumberland County,New Jersey,154497,34011,280.0,181.2332925558425
Essex County,New Jersey,871153,34013,2121.0,243.4704351589216
Gloucester County,New Jersey,308693,34015,286.0,92.6486833196736
Hudson County,New Jersey,719682,34017,591.0,82.11960282458085
Hunterdon County,New Jersey,130313,34019,0.0,0.0
Mercer County,New Jersey,391369,34021,534.0,136.44412306544464
Middlesex County,New Jersey,873281,34023,1841.0,210.81415947444177
Monmouth County,New Jersey,645796,34025,1262.0,195.41774801949842
Morris County,New Jersey,516902,34027,892.0,172.56656000557166
Ocean County,New Jersey,661368,34029,1315.0,198.83030325023284
Passaic County,New Jersey,524011,34031,803.0,153.24105791672312
Salem County,New Jersey,65488,34033,113.0,172.5506963107745
Somerset County,New Jersey,351042,34035,332.0,94.57557785108334
Sussex County,New Jersey,146328,34037,139.0,94.9920726040129
Union County,New Jersey,586115,34039,763.0,130.1792310382775
Warren County,New Jersey,111651,34041,187.0,167.48618462888822
Albany County,New York,317590,36001,1221.0,384.45794892786296
Allegany County,New York,46694,36003,69.0,147.7705915106866
Bronx County,New York,1380478,36005,2908.0,210.6516728263688
Broome County,New York,195934,36007,504.0,257.2294752314555
Cattaraugus County,New York,75671,36009,202.0,266.94506482007637
Cayuga County,New York,74563,36011,85.0,113.99755911108726
Chautauqua County,New York,125061,36013,322.0,257.4743525159722
Chemung County,New York,81090,36015,191.0,235.5407571833765
Chenango County,New York,45904,36017,58.0,126.35064482398049
Clinton County,New York,77905,36019,286.0,367.11379243950967
Columbia County,New York,60607,36021,192.0,316.79508967611
Cortland County,New York,46004,36023,84.0,182.59281801582472
Delaware County,New York,44533,36025,56.0,125.74944423236701
Dutchess County,New York,297451,36027,424.0,142.54448631875502
Erie County,New York,947418,36029,2235.0,235.90432100720062
Essex County,New York,36686,36031,25.0,68.14588671427792
Franklin County,New York,46224,36033,119.0,257.4420214607131
Fulton County,New York,52468,36035,57.0,108.63764580315622
Genesee County,New York,58016,36037,126.0,217.18146718146718
Greene County,New York,47411,36039,0.0,0.0
Hamilton County,New York,5068,36041,0.0,0.0
Herkimer County,New York,59551,36043,25.0,41.980823159980524
Jefferson County,New York,113280,36045,215.0,189.795197740113
Kings County,New York,2611893,36047,2840.0,108.73339757792527
Lewis County,New York,26568,36049,25.0,94.09816320385426
Livingston County,New York,61184,36051,67.0,109.50575313807532
Madison County,New York,67242,36053,126.0,187.38288569643973
Monroe County,New York,748957,36055,1763.0,235.39402128560116
Montgomery County,New York,49531,36057,100.0,201.89376350164545
Nassau County,New York,1388940,36059,2342.0,168.61779486514897
New York County,New York,1631534,36061,7753.0,475.19696187759496
Niagara County,New York,209451,36063,417.0,199.0919117120472
Oneida County,New York,227555,36065,602.0,264.5514271275076
Onondaga County,New York,468524,36067,1465.0,312.6840887553252
Ontario County,New York,112374,36069,307.0,273.19486714008576
Orange County,New York,410179,36071,644.0,157.00462481014387
Orleans County,New York,39567,36073,25.0,63.18396643667703
Oswego County,New York,117939,36075,132.0,111.92226489965152
Otsego County,New York,60581,36077,213.0,351.59538469156996
Putnam County,New York,98110,36079,88.0,89.6952400366935
Queens County,New York,2314747,36081,2855.0,123.33961335731293
Rensselaer County,New York,159605,36083,252.0,157.88979042009964
Richmond County,New York,495182,36085,753.0,152.06530124277538
Rockland County,New York,346437,36087,523.0,150.96539919234954
St. Lawrence County,New York,106607,36089,108.0,101.30666841764611
Saratoga County,New York,238699,36091,171.0,71.6383394986992
Schenectady County,New York,160129,36093,287.0,179.2304954130732
Schoharie County,New York,30140,36095,25.0,82.94625082946251
Schuyler County,New York,17441,36097,25.0,143.34040479330312
Seneca County,New York,32449,36099,0.0,0.0
Steuben County,New York,92078,36101,95.0,103.17339646821173
Suffolk County,New York,1533173,36103,2646.0,172.58326359778053
Sullivan County,New York,80413,36105,91.0,113.16578165222042
Tioga County,New York,47606,36107,0.0,0.0
Tompkins County,New York,104453,36109,89.0,85.20578633452367
Ulster County,New York,182956,36111,136.0,74.33481274186143
Warren County,New York,65467,36113,391.0,597.2474681900806
Washington County,New York,60052,36115,0.0,0.0
Wayne County,New York,90721,36117,101.0,111.3303424785882
Westchester County,New York,998335,36119,2034.0,203.73922581097526
Wyoming County,New York,39750,36121,47.0,118.23899371069182
Yates County,New York,24367,36123,25.0,102.59777568022326
