fips,state,county,neurologists,population,neurologists_per_100k
09001,CT,Fairfield,58.0,963780,6.017970906223412
09003,CT,Hartford,61.0,898478,6.789259169395355
09005,CT,Litchfield,7.0,186551,3.752325101446789
09007,CT,Middlesex,8.0,166110,4.8160857263259285
09009,CT,New Haven,141.0,865717,16.28707764777635
09011,CT,New London,9.0,268518,3.35173061023842
09013,CT,Tolland,2.0,150906,1.325328350098737
09015,CT,Windham,1.0,117116,0.8538542983025378
34001,NJ,Atlantic,8.0,276643,2.891813637070159
34003,NJ,Bergen,114.0,964156,11.823812743995786
34005,NJ,Burlington,21.0,472273,4.446580685323954
34007,NJ,Camden,40.0,529977,7.5474973442243725
34009,NJ,Cape May,5.0,94577,5.286697611470019
34011,NJ,Cumberland,3.0,154497,1.941785277384027
34013,NJ,Essex,60.0,871153,6.887423908314614
34015,NJ,Gloucester,4.0,308693,1.2957857806947357
34017,NJ,Hudson,22.0,719682,3.0569056889014874
34019,NJ,Hunterdon,6.0,130313,4.604298880387989
34021,NJ,Mercer,24.0,391369,6.132320137772792
34023,NJ,Middlesex,82.0,873281,9.389875652854007
34025,NJ,Monmouth,44.0,645796,6.813297078334335
34027,NJ,Morris,31.0,516902,5.997268341000809
34029,NJ,Ocean,9.0,661368,1.3608157636898066
34031,NJ,Passaic,24.0,524011,4.580056525530953
34033,NJ,Salem,2.0,65488,3.05399462496946
34035,NJ,Somerset,24.0,351042,6.836788760319279
34037,NJ,Sussex,1.0,146328,0.6833962057842655
34039,NJ,Union,31.0,586115,5.289064432747839
34041,NJ,Warren,3.0,111651,2.686944138431362
36001,NY,Albany,42.0,317590,13.224597751818383
36003,NY,Allegany,0.0,46694,0.0
36005,NY,Bronx,86.0,1380478,6.229726225264003
36007,NY,Broome,8.0,195934,4.083007543356437
36009,NY,Cattaraugus,1.0,75671,1.3215102218815664
36011,NY,Cayuga,0.0,74563,0.0
36013,NY,Chautauqua,1.0,125061,0.799609790422274
36015,NY,Chemung,3.0,81090,3.6995930447650758
36017,NY,Chenango,0.0,45904,0.0
36019,NY,Clinton,1.0,77905,1.2836146588794044
36021,NY,Columbia,0.0,60607,0.0
36023,NY,Cortland,0.0,46004,0.0
36025,NY,Delaware,0.0,44533,0.0
36027,NY,Dutchess,14.0,297451,4.706657567128703
36029,NY,Erie,88.0,947418,9.28840279580924
36031,NY,Essex,0.0,36686,0.0
36033,NY,Franklin,2.0,46224,4.326756663205262
36035,NY,Fulton,1.0,52468,1.905923610581688
36037,NY,Genesee,1.0,58016,1.7236624379481524
36039,NY,Greene,0.0,47411,0.0
36041,NY,Hamilton,0.0,5068,0.0
36043,NY,Herkimer,0.0,59551,0.0
36045,NY,Jefferson,1.0,113280,0.882768361581921
36047,NY,Kings,174.0,2611893,6.661834922027816
36049,NY,Lewis,0.0,26568,0.0
36051,NY,Livingston,0.0,61184,0.0
36053,NY,Madison,0.0,67242,0.0
36055,NY,Monroe,135.0,748957,18.02506685964615
36057,NY,Montgomery,0.0,49531,0.0
36059,NY,Nassau,210.0,1388940,15.119443604475356
36061,NY,New York,613.0,1631534,37.57200279001234
36063,NY,Niagara,8.0,209451,3.8195090975932318
36065,NY,Oneida,7.0,227555,3.076179385203577
36067,NY,Onondaga,47.0,468524,10.031503188737398
36069,NY,Ontario,7.0,112374,6.229198925018243
36071,NY,Orange,14.0,410179,3.4131440176118235
36073,NY,Orleans,0.0,39567,0.0
36075,NY,Oswego,1.0,117939,0.8478959462094812
36077,NY,Otsego,6.0,60581,9.904095343424506
36079,NY,Putnam,1.0,98110,1.0192640913260627
36081,NY,Queens,95.0,2314747,4.104120234306384
36083,NY,Rensselaer,2.0,159605,1.2530935747626955
36085,NY,Richmond,24.0,495182,4.846702828454992
36087,NY,Rockland,18.0,346437,5.1957498766009405
36089,NY,St. Lawrence,1.0,106607,0.9380247075707975
36091,NY,Saratoga,8.0,238699,3.3515012630970387
36093,NY,Schenectady,13.0,160129,8.118454496062549
36095,NY,Schoharie,0.0,30140,0.0
36097,NY,Schuyler,0.0,17441,0.0
36099,NY,Seneca,0.0,32449,0.0
36101,NY,Steuben,2.0,92078,2.172071504593931
36103,NY,Suffolk,127.0,1533173,8.28347485900156
36105,NY,Sullivan,2.0,80413,2.487160036312537
36107,NY,Tioga,0.0,47606,0.0
36109,NY,Tompkins,5.0,104453,4.786841928905823
36111,NY,Ulster,10.0,182956,5.465795054548635
36113,NY,Warren,1.0,65467,1.5274871309209221
36115,NY,Washington,0.0,60052,0.0
36117,NY,Wayne,3.0,90721,3.3068418557996493
36119,NY,Westchester,142.0,998335,14.22368243124803
36121,NY,Wyoming,0.0,39750,0.0
36123,NY,Yates,0.0,24367,0.0
