fips,State,County,# Primary Care Physicians,population,pcp_per_100k
9001,Connecticut,Fairfield,918,963780,95.24995330884641
9003,Connecticut,Hartford,856,898478,95.27222703282662
9005,Connecticut,Litchfield,100,186551,53.6046443063827
9007,Connecticut,Middlesex,129,166110,77.6593823370056
9009,Connecticut,New Haven,740,865717,85.47827985357802
9011,Connecticut,New London,167,268518,62.193223545535126
9013,Connecticut,Tolland,81,150906,53.67579817899885
9015,Connecticut,Windham,52,117116,44.40042351173196
34001,New Jersey,Atlantic,211,276643,76.27158467772544
34003,New Jersey,Bergen,1110,964156,115.12659777048526
34005,New Jersey,Burlington,377,472273,79.8267103984348
34007,New Jersey,Camden,509,529977,96.04190370525514
34009,New Jersey,Cape May,51,94577,53.924315636994194
34011,New Jersey,Cumberland,62,154497,40.130229065936554
34013,New Jersey,Essex,673,871153,77.25393817159558
34015,New Jersey,Gloucester,168,308693,54.423002789178895
34017,New Jersey,Hudson,363,719682,50.43894386687454
34019,New Jersey,Hunterdon,150,130313,115.10747200969972
34021,New Jersey,Mercer,360,391369,91.98480206659188
34023,New Jersey,Middlesex,804,873281,92.0665856694466
34025,New Jersey,Monmouth,743,645796,115.05181202732751
34027,New Jersey,Morris,496,516902,95.95629345601294
34029,New Jersey,Ocean,253,661368,38.25404313483567
34031,New Jersey,Passaic,290,524011,55.34234968349901
34033,New Jersey,Salem,19,65488,29.01294893720987
34035,New Jersey,Somerset,382,351042,108.81888776841518
34037,New Jersey,Sussex,67,146328,45.78754578754579
34039,New Jersey,Union,370,586115,63.12754322957099
34041,New Jersey,Warren,63,111651,56.4258269070586
36001,New York,Albany,307,317590,96.6655121382915
36003,New York,Allegany,19,46694,40.69045273482675
36005,New York,Bronx,907,1380478,65.70188007342385
36007,New York,Broome,163,195934,83.19127869588739
36009,New York,Cattaraugus,35,75671,46.25285776585482
36011,New York,Cayuga,19,74563,25.481807330713625
36013,New York,Chautauqua,70,125061,55.97268532955917
36015,New York,Chemung,67,81090,82.62424466642003
36017,New York,Chenango,15,45904,32.67689090275357
36019,New York,Clinton,60,77905,77.01687953276426
36021,New York,Columbia,24,60607,39.59938620951375
36023,New York,Cortland,18,46004,39.127032431962434
36025,New York,Delaware,14,44533,31.437361058091753
36027,New York,Dutchess,203,297451,68.2465347233662
36029,New York,Erie,734,947418,77.47372331959072
36031,New York,Essex,15,36686,40.88753202856676
36033,New York,Franklin,29,46224,62.73797161647629
36035,New York,Fulton,17,52468,32.400701379888694
36037,New York,Genesee,17,58016,29.30226144511859
36039,New York,Greene,17,47411,35.856657737655816
36041,New York,Hamilton,1,5068,19.73164956590371
36043,New York,Herkimer,17,59551,28.546959748786755
36045,New York,Jefferson,60,113280,52.96610169491525
36047,New York,Kings,1819,2611893,69.64297542050919
36049,New York,Lewis,17,26568,63.98675097862089
36051,New York,Livingston,26,61184,42.49476987447699
36053,New York,Madison,50,67242,74.35828797477767
36055,New York,Monroe,815,748957,108.81799622675265
36057,New York,Montgomery,26,49531,52.492378510427805
36059,New York,Nassau,1948,1388940,140.2508387691333
36061,New York,New York,2243,1631534,137.4779808450207
36063,New York,Niagara,84,209451,40.10484552472894
36065,New York,Oneida,173,227555,76.02557623431697
36067,New York,Onondaga,448,468524,95.61943465009263
36069,New York,Ontario,87,112374,77.42004378236959
36071,New York,Orange,267,410179,65.09353233588263
36073,New York,Orleans,3,39567,7.582075972401244
36075,New York,Oswego,48,117939,40.699005418055094
36077,New York,Otsego,75,60581,123.80119179280632
36079,New York,Putnam,50,98110,50.963204566303126
36081,New York,Queens,1449,2314747,62.59863388957843
36083,New York,Rensselaer,74,159605,46.364462266219725
36085,New York,Richmond,430,495182,86.8367590098186
36087,New York,Rockland,288,346437,83.13199802561505
36089,New York,St. Lawrence,57,106607,53.46740833153546
36091,New York,Saratoga,162,238699,67.86790057771503
36093,New York,Schenectady,126,160129,78.68655896183702
36095,New York,Schoharie,9,30140,29.860650298606505
36097,New York,Schuyler,11,17441,63.06977810905338
36099,New York,Seneca,9,32449,27.73583161268452
36101,New York,Steuben,49,92078,53.21575186255132
36103,New York,Suffolk,1086,1533173,70.83349367618658
36105,New York,Sullivan,28,80413,34.82024050837551
36107,New York,Tioga,14,47606,29.40805780783935
36109,New York,Tompkins,82,104453,78.5042076340555
36111,New York,Ulster,114,182956,62.31006362185443
36113,New York,Warren,76,65467,116.08902194999008
36115,New York,Washington,21,60052,34.96969293279158
36117,New York,Wayne,22,90721,24.25017360919743
36119,New York,Westchester,1339,998335,134.1233153200078
36121,New York,Wyoming,11,39750,27.672955974842765
36123,New York,Yates,13,24367,53.350843353716094
