fips,county,population,state,stroke_center_count,stroke_centers_per_100k
09001,Fairfield,963780,Connecticut,6,0.6225487144369047
09003,Hartford,898478,Connecticut,6,0.667795983874953
09009,New Haven,865717,Connecticut,7,0.8085783229392516
09011,New London,268518,Connecticut,2,0.7448290244974266
09005,Litchfield,186551,Connecticut,3,1.608139329191481
09007,Middlesex,166110,Connecticut,1,0.6020107157907411
09013,Tolland,150906,Connecticut,2,1.325328350098737
09015,Windham,117116,Connecticut,2,1.7077085966050756
34001,Atlantic,276643,New Jersey,3,1.0844301139013095
34003,Bergen,964156,New Jersey,5,0.5185882782454292
34005,Burlington,472273,New Jersey,2,0.4234838747927576
34007,Camden,529977,New Jersey,6,1.132124601633656
34009,Cape May,94577,New Jersey,1,1.0573395222940039
34011,Cumberland,154497,New Jersey,1,0.647261759128009
34013,Essex,871153,New Jersey,6,0.6887423908314613
34015,Gloucester,308693,New Jersey,2,0.6478928903473679
34017,Hudson,719682,New Jersey,5,0.6947512929321561
34019,Hunterdon,130313,New Jersey,2,1.534766293462663
34021,Mercer,391369,New Jersey,4,1.0220533562954655
34023,Middlesex,873281,New Jersey,5,0.5725533934667077
34025,Monmouth,645796,New Jersey,5,0.7742383043561744
34027,Morris,516902,New Jersey,4,0.7738410762581688
34029,Ocean,661368,New Jersey,4,0.6048070060843584
34031,Passaic,524011,New Jersey,3,0.5725070656913691
34033,Salem,65488,New Jersey,2,3.05399462496946
34035,Somerset,351042,New Jersey,1,0.28486619834663657
34037,Sussex,146328,New Jersey,1,0.6833962057842655
34039,Union,586115,New Jersey,3,0.5118449451046296
34041,Warren,111651,New Jersey,2,1.7912960922875745
36001,Albany,317590,New York,2,0.6297427500865896
36003,Allegany,46694,New York,1,2.141602775517197
36005,Bronx,1380478,New York,6,0.4346320622277211
36007,Broome,195934,New York,2,1.0207518858391091
36009,Cattaraugus,75671,New York,1,1.3215102218815664
36011,Cayuga,74563,New York,1,1.3411477542480856
36013,Chautauqua,125061,New York,0,0.0
36015,Chemung,81090,New York,1,1.2331976815883585
36017,Chenango,45904,New York,0,0.0
36019,Clinton,77905,New York,0,0.0
36021,Columbia,60607,New York,1,1.6499744253964064
36023,Cortland,46004,New York,1,2.1737240239979134
36025,Delaware,44533,New York,0,0.0
36027,Dutchess,297451,New York,3,1.0085694786704364
36029,Erie,947418,New York,4,0.42220012708223825
36031,Essex,36686,New York,0,0.0
36033,Franklin,46224,New York,0,0.0
36035,Fulton,52468,New York,0,0.0
36037,Genesee,58016,New York,1,1.7236624379481524
36039,Greene,47411,New York,0,0.0
36041,Hamilton,5068,New York,0,0.0
36043,Herkimer,59551,New York,0,0.0
36045,Jefferson,113280,New York,1,0.882768361581921
36047,Kings,2611893,New York,12,0.4594368911743321
36049,Lewis,26568,New York,0,0.0
36051,Livingston,61184,New York,1,1.6344142259414225
36053,Madison,67242,New York,0,0.0
36055,Monroe,748957,New York,4,0.5340760551006266
36057,Montgomery,49531,New York,0,0.0
36059,Nassau,1388940,New York,11,0.7919708554725186
36061,New York,1631534,New York,11,0.6742121218436147
36063,Niagara,209451,New York,2,0.9548772743983079
36065,Oneida,227555,New York,2,0.8789083957724506
36067,Onondaga,468524,New York,3,0.6403087141747275
36069,Ontario,112374,New York,2,1.7797711214337837
36071,Orange,410179,New York,2,0.48759200251597473
36073,Orleans,39567,New York,0,0.0
36075,Oswego,117939,New York,0,0.0
36077,Otsego,60581,New York,1,1.6506825572374177
36079,Putnam,98110,New York,1,1.0192640913260627
36081,Queens,2314747,New York,9,0.38881139061849956
36083,Rensselaer,159605,New York,1,0.6265467873813477
36085,Richmond,495182,New York,3,0.605837853556874
36087,Rockland,346437,New York,2,0.5773055418445489
36089,St. Lawrence,106607,New York,1,0.9380247075707975
36091,Saratoga,238699,New York,1,0.41893765788712983
36093,Schenectady,160129,New York,1,0.6244964996971192
36095,Schoharie,30140,New York,0,0.0
36097,Schuyler,17441,New York,0,0.0
36099,Seneca,32449,New York,0,0.0
36101,Steuben,92078,New York,1,1.0860357522969655
36103,Suffolk,1533173,New York,11,0.7174663263702139
36105,Sullivan,80413,New York,1,1.2435800181562684
36107,Tioga,47606,New York,0,0.0
36109,Tompkins,104453,New York,1,0.9573683857811648
36111,Ulster,182956,New York,1,0.5465795054548634
36113,Warren,65467,New York,1,1.5274871309209221
36115,Washington,60052,New York,0,0.0
36117,Wayne,90721,New York,1,1.1022806185998832
36119,Westchester,998335,New York,10,1.0016677768484528
36121,Wyoming,39750,New York,0,0.0
36123,Yates,24367,New York,0,0.0
