fips,county,state,acute_stroke_mortality_per_100k,sequelae_stroke_mortality_per_100k
36001,Albany,NY,11.6,1.36
36003,Allegany,NY,15.49,3.65
36005,Bronx,NY,9.19,1.2
36007,Broome,NY,16.26,3.03
36009,Cattaraugus,NY,17.56,2.43
36011,Cayuga,NY,18.93,2.65
36013,Chautauqua,NY,21.15,1.81
36015,Chemung,NY,18.8,2.76
36017,Chenango,NY,15.3,3.37
36019,Clinton,NY,14.47,3.44
36021,Columbia,NY,11.66,1.17
36023,Cortland,NY,13.85,1.54
36025,Delaware,NY,18.28,1.6
36027,Dutchess,NY,11.92,1.73
36029,Erie,NY,16.32,2.03
36031,Essex,NY,20.42,1.93
36033,Franklin,NY,12.75,1.52
36035,Fulton,NY,17.32,1.35
36037,Genesee,NY,18.49,2.96
36039,Greene,NY,12.62,1.5
36041,Hamilton,NY,14.0,0.0
36043,Herkimer,NY,13.83,2.38
36045,Jefferson,NY,13.29,1.48
36047,Kings,NY,7.39,1.07
36049,Lewis,NY,23.61,2.68
36051,Livingston,NY,17.4,1.16
36053,Madison,NY,16.7,1.06
36055,Monroe,NY,17.81,2.39
36057,Montgomery,NY,19.64,1.44
36059,Nassau,NY,8.81,1.68
36061,New York,NY,6.94,1.45
36063,Niagara,NY,19.13,1.96
36065,Oneida,NY,18.85,2.67
36067,Onondaga,NY,15.81,2.0
36069,Ontario,NY,17.79,3.18
36071,Orange,NY,9.16,1.03
36073,Orleans,NY,16.56,1.8
36075,Oswego,NY,17.56,1.7
36077,Otsego,NY,12.44,1.2
36079,Putnam,NY,10.93,0.73
36081,Queens,NY,7.5,1.01
36083,Rensselaer,NY,12.03,2.58
36085,Richmond,NY,7.42,0.61
36087,Rockland,NY,9.4,1.48
36089,St. Lawrence,NY,12.06,2.25
36091,Saratoga,NY,11.81,2.05
36093,Schenectady,NY,14.86,2.95
36095,Schoharie,NY,15.73,2.38
36097,Schuyler,NY,17.71,4.02
36099,Seneca,NY,13.37,2.16
36101,Steuben,NY,17.97,2.15
36103,Suffolk,NY,9.4,1.34
36105,Sullivan,NY,10.11,0.9
36107,Tioga,NY,16.04,1.48
36109,Tompkins,NY,10.83,2.08
36111,Ulster,NY,13.1,1.33
36113,Warren,NY,20.92,2.4
36115,Washington,NY,18.07,1.17
36117,Wayne,NY,15.83,2.82
36119,Westchester,NY,10.85,1.39
36121,Wyoming,NY,11.79,1.79
36123,Yates,NY,22.61,2.9
34001,Atlantic,NJ,15.97,2.39
34003,Bergen,NJ,14.71,2.93
34005,Burlington,NJ,18.93,4.46
34007,Camden,NJ,18.13,3.46
34009,Cape May,NJ,28.5,6.15
34011,Cumberland,NJ,20.09,4.48
34013,Essex,NJ,12.64,2.96
34015,Gloucester,NJ,18.95,2.96
34017,Hudson,NJ,8.1,1.73
34019,Hunterdon,NJ,14.57,3.75
34021,Mercer,NJ,12.67,3.13
34023,Middlesex,NJ,10.76,2.75
34025,Monmouth,NJ,16.67,2.91
34027,Morris,NJ,14.72,3.11
34029,Ocean,NJ,19.49,3.4
34031,Passaic,NJ,12.21,2.76
34033,Salem,NJ,23.53,4.84
34035,Somerset,NJ,14.48,3.71
34037,Sussex,NJ,14.47,1.97
34039,Union,NJ,11.38,3.54
34041,Warren,NJ,17.37,1.56
09001,Fairfield,CT,11.96,1.34
09003,Hartford,CT,13.6,1.85
09005,Litchfield,CT,18.92,1.92
09007,Middlesex,CT,14.11,1.73
09009,New Haven,CT,13.62,2.3
09011,New London,CT,16.97,2.51
09013,Tolland,CT,9.24,1.56
09015,Windham,CT,14.51,2.09
