town_name,town_fips_2020,county_fips,county_name,town_fips_2022,region_fips,region_name
Andover,0901301080,09013,Tolland County,0911001080,09110,Capitol Planning Region
Ansonia,0900901220,09009,New Haven County,0914001220,09140,Naugatuck Valley Planning Region
Ashford,0901501430,09015,Windham County,0915001430,09150,Northeastern Connecticut Planning Region
Avon,0900302060,09003,Hartford County,0911002060,09110,Capitol Planning Region
Barkhamsted,0900502760,09005,Litchfield County,0916002760,09160,Northwest Hills Planning Region
Beacon Falls,0900903250,09009,New Haven County,0914003250,09140,Naugatuck Valley Planning Region
Berlin,0900304300,09003,Hartford County,0911004300,09110,Capitol Planning Region
Bethany,0900904580,09009,New Haven County,0917004580,09170,South Central Connecticut Planning Region
Bethel,0900104720,09001,Fairfield County,0919004720,09190,Western Connecticut Planning Region
Bethlehem,0900504930,09005,Litchfield County,0914004930,09140,Naugatuck Valley Planning Region
Bloomfield,0900305910,09003,Hartford County,0911005910,09110,Capitol Planning Region
Bolton,0901306260,09013,Tolland County,0911006260,09110,Capitol Planning Region
Bozrah,0901106820,09011,New London County,0918006820,09180,Southeastern Connecticut Planning Region
Branford,0900907310,09009,New Haven County,0917007310,09170,South Central Connecticut Planning Region
Bridgeport,0900108070,09001,Fairfield County,0912008070,09120,Greater Bridgeport Planning Region
Bridgewater,0900508210,09005,Litchfield County,0919008210,09190,Western Connecticut Planning Region
Bristol,0900308490,09003,Hartford County,0914008490,09140,Naugatuck Valley Planning Region
Brookfield,0900108980,09001,Fairfield County,0919008980,09190,Western Connecticut Planning Region
Brooklyn,0901509190,09015,Windham County,0915009190,09150,Northeastern Connecticut Planning Region
Burlington,0900310100,09003,Hartford County,0916010100,09160,Northwest Hills Planning Region
Canaan,0900510940,09005,Litchfield County,0916010940,09160,Northwest Hills Planning Region
Canterbury,0901512130,09015,Windham County,0915012130,09150,Northeastern Connecticut Planning Region
Canton,0900312270,09003,Hartford County,0911012270,09110,Capitol Planning Region
Chaplin,0901513810,09015,Windham County,0915013810,09150,Northeastern Connecticut Planning Region
Cheshire,0900914160,09009,New Haven County,0914014160,09140,Naugatuck Valley Planning Region
Chester,0900714300,09007,Middlesex County,0913014300,09130,Lower Connecticut River Valley Planning Region
Clinton,0900715350,09007,Middlesex County,0913015350,09130,Lower Connecticut River Valley Planning Region
Colchester,0901115910,09011,New London County,0918015910,09180,Southeastern Connecticut Planning Region
Colebrook,0900516050,09005,Litchfield County,0916016050,09160,Northwest Hills Planning Region
Columbia,0901316400,09013,Tolland County,0911016400,09110,Capitol Planning Region
Cornwall,0900517240,09005,Litchfield County,0916017240,09160,Northwest Hills Planning Region
Coventry,0901317800,09013,Tolland County,0911017800,09110,Capitol Planning Region
Cromwell,0900718080,09007,Middlesex County,0913018080,09130,Lower Connecticut River Valley Planning Region
Danbury,0900118500,09001,Fairfield County,0919018500,09190,Western Connecticut Planning Region
Darien,0900118850,09001,Fairfield County,0919018850,09190,Western Connecticut Planning Region
Deep River,0900719130,09007,Middlesex County,0913019130,09130,Lower Connecticut River Valley Planning Region
Derby,0900919550,09009,New Haven County,0914019550,09140,Naugatuck Valley Planning Region
Durham,0900720810,09007,Middlesex County,0913020810,09130,Lower Connecticut River Valley Planning Region
East Granby,0900322070,09003,Hartford County,0911022070,09110,Capitol Planning Region
East Haddam,0900722280,09007,Middlesex County,0913022280,09130,Lower Connecticut River Valley Planning Region
East Hampton,0900722490,09007,Middlesex County,0913022490,09130,Lower Connecticut River Valley Planning Region
East Hartford,0900322630,09003,Hartford County,0911022630,09110,Capitol Planning Region
East Haven,0900922910,09009,New Haven County,0917022910,09170,South Central Connecticut Planning Region
East Lyme,0901123400,09011,New London County,0918023400,09180,Southeastern Connecticut Planning Region
East Windsor,0900324800,09003,Hartford County,0911024800,09110,Capitol Planning Region
Eastford,0901521860,09015,Windham County,0915021860,09150,Northeastern Connecticut Planning Region
Easton,0900123890,09001,Fairfield County,0912023890,09120,Greater Bridgeport Planning Region
Ellington,0901325360,09013,Tolland County,0911025360,09110,Capitol Planning Region
Enfield,0900325990,09003,Hartford County,0911025990,09110,Capitol Planning Region
Essex,0900726270,09007,Middlesex County,0913026270,09130,Lower Connecticut River Valley Planning Region
Fairfield,0900126620,09001,Fairfield County,0912026620,09120,Greater Bridgeport Planning Region
Farmington,0900327600,09003,Hartford County,0911027600,09110,Capitol Planning Region
Franklin,0901129910,09011,New London County,0918029910,09180,Southeastern Connecticut Planning Region
Glastonbury,0900331240,09003,Hartford County,0911031240,09110,Capitol Planning Region
Goshen,0900532290,09005,Litchfield County,0916032290,09160,Northwest Hills Planning Region
Granby,0900332640,09003,Hartford County,0911032640,09110,Capitol Planning Region
Greenwich,0900133620,09001,Fairfield County,0919033620,09190,Western Connecticut Planning Region
Griswold,0901133900,09011,New London County,0918033900,09180,Southeastern Connecticut Planning Region
Groton,0901134250,09011,New London County,0918034250,09180,Southeastern Connecticut Planning Region
Guilford,0900934950,09009,New Haven County,0917034950,09170,South Central Connecticut Planning Region
Haddam,0900735230,09007,Middlesex County,0913035230,09130,Lower Connecticut River Valley Planning Region
Hamden,0900935650,09009,New Haven County,0917035650,09170,South Central Connecticut Planning Region
Hampton,0901536000,09015,Windham County,0915036000,09150,Northeastern Connecticut Planning Region
Hartford,0900337070,09003,Hartford County,0911037070,09110,Capitol Planning Region
Hartland,0900337140,09003,Hartford County,0916037140,09160,Northwest Hills Planning Region
Harwinton,0900537280,09005,Litchfield County,0916037280,09160,Northwest Hills Planning Region
Hebron,0901337910,09013,Tolland County,0911037910,09110,Capitol Planning Region
Kent,0900540290,09005,Litchfield County,0916040290,09160,Northwest Hills Planning Region
Killingly,0901540500,09015,Windham County,0915040500,09150,Northeastern Connecticut Planning Region
Killingworth,0900740710,09007,Middlesex County,0913040710,09130,Lower Connecticut River Valley Planning Region
Lebanon,0901142390,09011,New London County,0918042390,09180,Southeastern Connecticut Planning Region
Ledyard,0901142600,09011,New London County,0918042600,09180,Southeastern Connecticut Planning Region
Lisbon,0901143230,09011,New London County,0918043230,09180,Southeastern Connecticut Planning Region
Litchfield,0900543370,09005,Litchfield County,0916043370,09160,Northwest Hills Planning Region
